date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,23,,0,,,,,6034,,,,,0,0,,,,False,False,False
2013-04-11,0,23,,0,,,,,6058,,,,,0,0,,,,False,False,False
2013-04-12,0,23,,0,,,,,6082,,,,,0,0,,,,False,False,False
2013-04-13,0,23,,0,,,,,6106,,,,,0,0,,,,False,False,False
2013-04-14,0,23,,0,,,,,6130,,,,,0,0,,,,False,False,False
2013-04-15,0,23,,0,,,,,6154,,,,,0,0,,,,False,False,False
2013-04-16,0,23,,0,,,,,6178,,,,,0,0,,,,False,False,False
2013-04-17,0,23,,0,,,,,6202,,,,,0,0,,,,False,False,False
2013-04-18,0,23,,0,,,,,6226,,,,,0,0,,,,False,False,False
2013-04-19,0,23,,0,,,,,6250,,,,,0,0,,,,False,False,False
2013-04-20,0,23,,0,,,,,6274,,,,,0,0,,,,False,False,False
2013-04-21,0,23,,0,,,,,6298,,,,,0,0,,,,False,False,False
2013-04-22,0,23,,0,,,,,6322,,,,,0,0,,,,False,False,False
2013-04-23,0,23,,0,,,,,6346,,,,,0,0,,,,False,False,False
2013-04-24,0,30,,0,,,,,6364,,,,,0,0,,,,False,False,False
2013-04-25,0,30,,0,,,,,6388,,,,,0,0,,,,False,False,False
2013-04-26,0,28,,0,,,,,6412,,,,,0,0,,,,False,False,False
