date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,30,,196608,,,,,13908,,,,,0,0,,,,False,False,False
2013-04-11,0,30,,0,,,,,13932,,,,,0,0,,,,False,False,False
2013-04-12,0,29,,0,,,,,13956,,,,,0,0,,,,False,False,False
2013-04-13,0,29,,0,,,,,13980,,,,,0,0,,,,False,False,False
2013-04-14,0,29,,0,,,,,14004,,,,,0,0,,,,False,False,False
2013-04-15,0,30,,0,,,,,14028,,,,,0,0,,,,False,False,False
2013-04-16,0,29,,0,,,,,14052,,,,,0,0,,,,False,False,False
2013-04-17,0,28,,0,,,,,14076,,,,,0,0,,,,False,False,False
2013-04-18,0,30,,0,,,,,14100,,,,,0,0,,,,False,False,False
2013-04-19,0,29,,0,,,,,14124,,,,,0,0,,,,False,False,False
2013-04-20,0,29,,0,,,,,14148,,,,,0,0,,,,False,False,False
2013-04-21,0,29,,0,,,,,14172,,,,,0,0,,,,False,False,False
2013-04-22,0,28,,0,,,,,14196,,,,,0,0,,,,False,False,False
2013-04-23,0,28,,0,,,,,14220,,,,,0,0,,,,False,False,False
2013-04-24,0,26,,0,,,,,14238,,,,,0,0,,,,False,False,False
2013-04-25,0,27,,0,,,,,14262,,,,,0,0,,,,False,False,False
2013-04-26,0,25,,0,,,,,14285,,,,,0,0,,,,False,False,False
2013-04-27,0,25,,65537,,,,,14310,,,,,0,0,,,,False,False,False
2013-04-28,0,25,,0,,,,,14333,,,,,0,0,,,,False,False,False
2013-04-29,0,25,,0,,,,,14357,,,,,0,0,,,,False,False,False
2013-04-30,0,24,,0,,,,,14381,,,,,0,0,,,,False,False,False
2013-05-01,0,23,,0,,,,,14405,,,,,0,0,,,,False,False,False
2013-05-02,0,25,,0,,,,,14429,,,,,0,0,,,,False,False,False
2013-05-03,0,25,,0,,,,,14453,,,,,0,0,,,,False,False,False
2013-05-04,0,26,,0,,,,,14477,,,,,0,0,,,,False,False,False
2013-05-05,0,26,,0,,,,,14501,,,,,0,0,,,,False,False,False
2013-05-06,0,27,,0,,,,,14525,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,14549,,,,,0,0,,,,False,False,False
2013-05-08,0,24,,0,,,,,14573,,,,,0,0,,,,False,False,False
2013-05-09,0,23,,0,,,,,14597,,,,,0,0,,,,False,False,False
2013-05-10,0,23,,0,,,,,14621,,,,,0,0,,,,False,False,False
2013-05-11,0,24,,0,,,,,14646,,,,,0,0,,,,False,False,False
2013-05-12,0,24,,0,,,,,14669,,,,,0,0,,,,False,False,False
2013-05-13,0,23,,0,,,,,14693,,,,,0,0,,,,False,False,False
2013-05-14,0,23,,0,,,,,14717,,,,,0,0,,,,False,False,False
2013-05-15,0,24,,0,,,,,14741,,,,,0,0,,,,False,False,False
2013-05-16,0,24,,0,,,,,14765,,,,,0,0,,,,False,False,False
2013-05-17,0,25,,196610,,,,,14789,,,,,0,0,,,,False,False,False
2013-05-18,0,24,,0,,,,,14813,,,,,0,0,,,,False,False,False
2013-05-19,0,24,,0,,,,,14837,,,,,0,0,,,,False,False,False
2013-05-20,0,24,,0,,,,,14861,,,,,0,0,,,,False,False,False
2013-05-21,0,23,,0,,,,,14886,,,,,0,0,,,,False,False,False
2013-05-22,0,24,,0,,,,,14909,,,,,0,0,,,,False,False,False
2013-05-23,0,23,,0,,,,,14933,,,,,0,0,,,,False,False,False
2013-05-24,0,24,,0,,,,,14957,,,,,0,0,,,,False,False,False
2013-05-25,0,26,,0,,,,,14981,,,,,0,0,,,,False,False,False
2013-05-26,0,24,,1507330,,,,,15005,,,,,0,0,,,,False,False,False
2013-05-27,0,24,,0,,,,,15030,,,,,0,0,,,,False,False,False
2013-05-28,0,25,,0,,,,,15053,,,,,0,0,,,,False,False,False
2013-05-29,0,24,,0,,,,,15078,,,,,0,0,,,,False,False,False
2013-05-30,0,25,,0,,,,,15101,,,,,0,0,,,,False,False,False
2013-05-31,0,25,,0,,,,,15125,,,,,0,0,,,,False,False,False
2013-06-01,0,25,,0,,,,,15150,,,,,0,0,,,,False,False,False
2013-06-02,0,26,,0,,,,,15173,,,,,0,0,,,,False,False,False
2013-06-03,0,25,,0,,,,,15197,,,,,0,0,,,,False,False,False
2013-06-04,0,24,,1,,,,,15221,,,,,0,0,,,,False,False,False
2013-06-05,0,26,,0,,,,,15246,,,,,0,0,,,,False,False,False
2013-06-06,0,26,,0,,,,,15269,,,,,0,0,,,,False,False,False
2013-06-07,0,26,,0,,,,,15293,,,,,0,0,,,,False,False,False
2013-06-08,0,27,,0,,,,,15317,,,,,0,0,,,,False,False,False
2013-06-09,0,27,,0,,,,,15341,,,,,0,0,,,,False,False,False
2013-06-10,0,27,,0,,,,,15365,,,,,0,0,,,,False,False,False
2013-06-11,0,27,,0,,,,,15389,,,,,0,0,,,,False,False,False
2013-06-12,0,27,,65536,,,,,15413,,,,,0,0,,,,False,False,False
2013-06-13,0,26,,131086,,,,,15437,,,,,0,0,,,,False,False,False
2013-06-14,0,25,,0,,,,,15461,,,,,0,0,,,,False,False,False
2013-06-15,0,25,,0,,,,,15486,,,,,0,0,,,,False,False,False
2013-06-16,0,26,,0,,,,,15509,,,,,0,0,,,,False,False,False
2013-06-17,0,27,,0,,,,,15533,,,,,0,0,,,,False,False,False
2013-06-18,0,27,,0,,,,,15557,,,,,0,0,,,,False,False,False
2013-06-19,0,26,,0,,,,,15581,,,,,0,0,,,,False,False,False
2013-06-20,0,26,,0,,,,,15605,,,,,0,0,,,,False,False,False
2013-06-21,0,26,,1,,,,,15629,,,,,0,0,,,,False,False,False
2013-06-22,0,27,,0,,,,,15653,,,,,0,0,,,,False,False,False
2013-06-23,0,26,,0,,,,,15677,,,,,0,0,,,,False,False,False
2013-06-24,0,25,,0,,,,,15701,,,,,0,0,,,,False,False,False
2013-06-25,0,25,,0,,,,,15725,,,,,0,0,,,,False,False,False
2013-06-26,0,24,,0,,,,,15749,,,,,0,0,,,,False,False,False
2013-06-27,0,25,,0,,,,,15774,,,,,0,0,,,,False,False,False
2013-06-28,0,25,,0,,,,,15797,,,,,0,0,,,,False,False,False
2013-06-29,0,25,,131073,,,,,15822,,,,,0,0,,,,False,False,False
2013-06-30,0,25,,655370,,,,,15845,,,,,0,0,,,,False,False,False
2013-07-01,0,25,,0,,,,,15869,,,,,0,0,,,,False,False,False
2013-07-02,0,25,,0,,,,,15894,,,,,0,0,,,,False,False,False
2013-07-03,0,25,,0,,,,,15917,,,,,0,0,,,,False,False,False
2013-07-04,0,25,,0,,,,,15942,,,,,0,0,,,,False,False,False
2013-07-05,0,26,,0,,,,,15965,,,,,0,0,,,,False,False,False
2013-07-06,0,26,,0,,,,,15989,,,,,0,0,,,,False,False,False
2013-07-07,0,25,,0,,,,,16014,,,,,0,0,,,,False,False,False
2013-07-08,0,26,,393217,,,,,16037,,,,,0,0,,,,False,False,False
2013-07-09,0,26,,0,,,,,16061,,,,,0,0,,,,False,False,False
2013-07-10,0,25,,0,,,,,16085,,,,,0,0,,,,False,False,False
2013-07-11,0,25,,0,,,,,16109,,,,,0,0,,,,False,False,False
2013-07-12,0,25,,0,,,,,16133,,,,,0,0,,,,False,False,False
2013-07-13,0,26,,0,,,,,16157,,,,,0,0,,,,False,False,False
2013-07-14,0,25,,0,,,,,16181,,,,,0,0,,,,False,False,False
2013-07-15,0,26,,0,,,,,16205,,,,,0,0,,,,False,False,False
