date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,27,,0,,,,,1532,,,,,0,0,,,
2013-04-11,0,26,,0,,,,,1556,,,,,0,0,,,
2013-04-12,0,25,,0,,,,,1580,,,,,0,0,,,
2013-04-13,0,25,,0,,,,,1604,,,,,0,0,,,
2013-04-14,0,25,,0,,,,,1628,,,,,0,0,,,
2013-04-15,0,25,,0,,,,,1652,,,,,0,0,,,
2013-04-16,0,24,,0,,,,,1676,,,,,0,0,,,
2013-04-17,0,23,,0,,,,,1700,,,,,0,0,,,
2013-04-18,0,25,,0,,,,,1724,,,,,0,0,,,
2013-04-19,0,23,,0,,,,,1748,,,,,0,0,,,
2013-04-20,0,23,,0,,,,,1772,,,,,0,0,,,
2013-04-21,0,23,,0,,,,,1796,,,,,0,0,,,
2013-04-22,0,23,,0,,,,,1820,,,,,0,0,,,
2013-04-23,0,27,,0,,,,,1844,,,,,0,0,,,
2013-04-24,0,28,,0,,,,,1868,,,,,0,0,,,
2013-04-25,0,28,,0,,,,,1892,,,,,0,0,,,
2013-04-26,0,28,,0,,,,,1916,,,,,0,0,,,
2013-04-27,0,28,,0,,,,,1940,,,,,0,0,,,
2013-04-28,0,28,,0,,,,,1964,,,,,0,0,,,
2013-04-29,0,28,,0,,,,,1988,,,,,0,0,,,
2013-04-30,0,25,,0,,,,,2012,,,,,0,0,,,
2013-05-01,0,24,,0,,,,,2036,,,,,0,0,,,
2013-05-02,0,28,,0,,,,,2060,,,,,0,0,,,
2013-05-03,0,27,,0,,,,,2084,,,,,0,0,,,
2013-05-04,0,27,,0,,,,,2108,,,,,0,0,,,
2013-05-05,0,27,,0,,,,,2132,,,,,0,0,,,
2013-05-06,0,27,,0,,,,,2156,,,,,0,0,,,
2013-05-07,0,27,,0,,,,,2180,,,,,0,0,,,
2013-05-08,0,24,,0,,,,,2204,,,,,0,0,,,
2013-05-09,0,24,,0,,,,,2228,,,,,0,0,,,
2013-05-10,0,24,,0,,,,,2252,,,,,0,0,,,
2013-05-11,0,24,,0,,,,,2276,,,,,0,0,,,
2013-05-12,0,24,,0,,,,,2300,,,,,0,0,,,
2013-05-13,0,24,,0,,,,,2324,,,,,0,0,,,
2013-05-14,0,24,,0,,,,,2348,,,,,0,0,,,
2013-05-15,0,24,,0,,,,,2372,,,,,0,0,,,
