date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,26,,393216,,,,,20604,,,,,7,1,,,,False,False,False
2013-04-11,0,26,,196612,,,,,20628,,,,,7,1,,,,False,False,False
2013-04-12,0,26,,327682,,,,,20652,,,,,7,1,,,,False,False,False
2013-04-13,0,26,,0,,,,,20676,,,,,7,1,,,,False,False,False
2013-04-14,0,26,,131074,,,,,20700,,,,,7,1,,,,False,False,False
2013-04-15,0,26,,262146,,,,,20724,,,,,7,1,,,,False,False,False
2013-04-16,0,26,,393222,,,,,20748,,,,,7,1,,,,False,False,False
2013-04-17,0,26,,458756,,,,,20772,,,,,7,1,,,,False,False,False
2013-04-18,0,27,,327684,,,,,20796,,,,,7,1,,,,False,False,False
2013-04-19,0,26,,262148,,,,,20820,,,,,7,1,,,,False,False,False
2013-04-20,0,26,,327681,,,,,20844,,,,,7,1,,,,False,False,False
2013-04-21,0,26,,327681,,,,,20868,,,,,7,1,,,,False,False,False
2013-04-22,0,26,,262149,,,,,20892,,,,,7,1,,,,False,False,False
2013-04-23,0,26,,393219,,,,,20916,,,,,7,1,,,,False,False,False
2013-04-24,0,26,,393219,,,,,20940,,,,,8,0,,,,False,False,False
2013-04-25,0,26,,393218,,,,,20964,,,,,8,0,,,,False,False,False
2013-04-26,0,26,,262149,,,,,20988,,,,,8,0,,,,False,False,False
2013-04-27,0,26,,589827,,,,,21012,,,,,8,0,,,,False,False,False
2013-04-28,0,26,,131077,,,,,21036,,,,,8,0,,,,False,False,False
2013-04-29,0,26,,262145,,,,,21060,,,,,8,0,,,,False,False,False
2013-04-30,0,26,,393217,,,,,21084,,,,,8,0,,,,False,False,False
2013-05-01,0,26,,327687,,,,,21108,,,,,8,0,,,,False,False,False
2013-05-02,0,27,,131073,,,,,21132,,,,,8,0,,,,False,False,False
2013-05-03,0,26,,458756,,,,,21156,,,,,8,0,,,,False,False,False
2013-05-04,0,26,,131072,,,,,21180,,,,,8,0,,,,False,False,False
2013-05-05,0,26,,65539,,,,,21204,,,,,9,0,,,,False,False,False
2013-05-06,0,27,,65539,,,,,21228,,,,,9,0,,,,False,False,False
2013-05-07,0,27,,131075,,,,,21252,,,,,9,0,,,,False,False,False
2013-05-08,0,26,,327682,,,,,21276,,,,,9,0,,,,False,False,False
2013-05-09,0,26,,65538,,,,,21300,,,,,9,0,,,,False,False,False
2013-05-10,0,26,,65542,,,,,21324,,,,,9,0,,,,False,False,False
2013-05-11,0,26,,196608,,,,,21348,,,,,9,0,,,,False,False,False
2013-05-12,0,26,,196612,,,,,21372,,,,,9,0,,,,False,False,False
2013-05-13,0,26,,196610,,,,,21396,,,,,9,0,,,,False,False,False
2013-05-14,0,26,,262146,,,,,21420,,,,,9,0,,,,False,False,False
2013-05-15,0,26,,131075,,,,,21444,,,,,9,0,,,,False,False,False
2013-05-16,0,25,,196614,,,,,21468,,,,,9,0,,,,False,False,False
2013-05-17,0,27,,65537,,,,,21492,,,,,9,0,,,,False,False,False
2013-05-18,0,26,,2,,,,,21516,,,,,9,0,,,,False,False,False
2013-05-19,0,26,,327682,,,,,21540,,,,,9,0,,,,False,False,False
2013-05-20,0,26,,262147,,,,,21564,,,,,10,0,,,,False,False,False
2013-05-21,0,27,,262147,,,,,21588,,,,,10,0,,,,False,False,False
2013-05-22,0,26,,262145,,,,,21612,,,,,10,0,,,,False,False,False
2013-05-23,0,26,,327682,,,,,21636,,,,,10,0,,,,False,False,False
2013-05-24,0,27,,131075,,,,,21660,,,,,10,0,,,,False,False,False
2013-05-25,0,27,,131073,,,,,21684,,,,,11,0,,,,False,False,False
2013-05-26,0,26,,131077,,,,,21708,,,,,11,0,,,,False,False,False
2013-05-27,0,26,,196609,,,,,21732,,,,,11,0,,,,False,False,False
2013-05-28,0,27,,131076,,,,,21756,,,,,11,0,,,,False,False,False
2013-05-29,0,26,,327687,,,,,21780,,,,,11,0,,,,False,False,False
2013-05-30,0,26,,1,,,,,21804,,,,,11,0,,,,False,False,False
2013-05-31,0,26,,131075,,,,,21828,,,,,11,0,,,,False,False,False
2013-06-01,0,26,,262147,,,,,21852,,,,,11,0,,,,False,False,False
2013-06-02,0,26,,393219,,,,,21876,,,,,11,0,,,,False,False,False
2013-06-03,0,26,,262147,,,,,21900,,,,,11,0,,,,False,False,False
2013-06-04,0,26,,262148,,,,,21924,,,,,11,0,,,,False,False,False
2013-06-05,0,26,,327685,,,,,21948,,,,,11,0,,,,False,False,False
2013-06-06,0,26,,65536,,,,,21972,,,,,11,0,,,,False,False,False
2013-06-07,0,25,,393219,,,,,21996,,,,,11,0,,,,False,False,False
2013-06-08,0,25,,2,,,,,22020,,,,,11,0,,,,False,False,False
2013-06-09,0,26,,393220,,,,,22044,,,,,11,0,,,,False,False,False
2013-06-10,0,26,,393220,,,,,22068,,,,,11,0,,,,False,False,False
2013-06-11,0,26,,0,,,,,22092,,,,,11,0,,,,False,False,False
2013-06-12,0,26,,393217,,,,,22116,,,,,11,0,,,,False,False,False
2013-06-13,0,26,,196608,,,,,22140,,,,,11,0,,,,False,False,False
