date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,27,,65540,,,,,21293,,,,,0,0,,,
2013-04-11,0,28,,131077,,,,,21317,,,,,0,0,,,
2013-04-12,0,27,,8,,,,,21341,,,,,0,0,,,
2013-04-13,0,27,,65540,,,,,21365,,,,,0,0,,,
2013-04-14,0,27,,131073,,,,,21389,,,,,0,0,,,
2013-04-15,0,27,,327688,,,,,21413,,,,,0,0,,,
2013-04-16,0,27,,131072,,,,,21437,,,,,0,0,,,
2013-04-17,0,27,,131077,,,,,21461,,,,,0,0,,,
2013-04-18,0,27,,262146,,,,,21485,,,,,0,0,,,
2013-04-19,0,27,,262147,,,,,21509,,,,,0,0,,,
2013-04-20,0,27,,65539,,,,,21533,,,,,0,0,,,
2013-04-21,0,27,,131072,,,,,21557,,,,,0,0,,,
2013-04-22,0,27,,131075,,,,,21581,,,,,0,0,,,
2013-04-23,0,27,,524290,,,,,21604,,,,,0,0,,,
2013-04-24,0,27,,196609,,,,,21629,,,,,0,0,,,
2013-04-25,0,27,,327681,,,,,21653,,,,,0,0,,,
2013-04-26,0,26,,524296,,,,,21677,,,,,0,0,,,
2013-04-27,0,26,,131072,,,,,21701,,,,,0,0,,,
2013-04-28,0,26,,131076,,,,,21725,,,,,0,0,,,
2013-04-29,0,26,,65551,,,,,21749,,,,,0,0,,,
2013-04-30,0,26,,327696,,,,,21773,,,,,0,0,,,
2013-05-01,0,26,,5,,,,,21797,,,,,0,0,,,
2013-05-02,0,26,,131075,,,,,21821,,,,,0,0,,,
2013-05-03,0,27,,1,,,,,21845,,,,,0,0,,,
2013-05-04,0,26,,327686,,,,,21869,,,,,0,0,,,
2013-05-05,0,26,,327687,,,,,21893,,,,,0,0,,,
2013-05-06,0,26,,196612,,,,,21917,,,,,0,0,,,
2013-05-07,0,27,,262147,,,,,21941,,,,,0,0,,,
2013-05-08,0,26,,196619,,,,,21965,,,,,0,0,,,
2013-05-09,0,26,,196613,,,,,21989,,,,,0,0,,,
2013-05-10,0,26,,655361,,,,,22013,,,,,0,0,,,
2013-05-11,0,26,,196611,,,,,22037,,,,,0,0,,,
2013-05-12,0,26,,131078,,,,,22061,,,,,0,0,,,
2013-05-13,0,26,,65538,,,,,22085,,,,,0,0,,,
2013-05-14,0,26,,196613,,,,,22109,,,,,0,0,,,
2013-05-15,0,26,,131073,,,,,22133,,,,,0,0,,,
2013-05-16,0,26,,65540,,,,,22157,,,,,0,0,,,
2013-05-17,0,26,,0,,,,,22181,,,,,0,0,,,
2013-05-18,0,26,,262145,,,,,22205,,,,,0,0,,,
2013-05-19,0,26,,0,,,,,22229,,,,,0,0,,,
2013-05-20,0,26,,262153,,,,,22253,,,,,0,0,,,
2013-05-21,0,26,,65537,,,,,22277,,,,,0,0,,,
2013-05-22,0,26,,1,,,,,22301,,,,,0,0,,,
2013-05-23,0,26,,262152,,,,,22325,,,,,0,0,,,
