date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-03-25,0,24,0,0,3,3,0,3,7,0,0,3,0,0,0,0,0,0,False,False,False
2014-03-26,0,23,35,0,4,4,0,4,31,103,0,4,0,0,0,0,0,0,False,False,False
2014-03-27,0,23,35,0,4,4,0,4,55,103,0,4,0,0,0,0,0,0,False,False,False
2014-03-28,0,23,35,0,4,4,0,4,80,103,0,4,0,0,0,0,0,0,False,False,False
2014-03-29,0,23,35,0,4,4,0,4,103,103,0,4,0,0,0,0,0,0,False,False,False
2014-03-30,0,23,35,0,4,4,0,4,127,103,0,4,0,0,0,0,0,0,False,False,False
2014-03-31,0,23,35,0,4,4,0,4,151,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-01,0,23,35,0,4,4,0,4,175,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-02,0,23,35,0,4,4,0,4,199,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-03,0,22,35,0,4,4,0,4,223,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-04,0,23,35,0,4,4,0,4,247,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-05,0,23,35,0,4,4,0,4,271,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-06,0,23,35,0,4,4,0,4,295,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-07,0,23,35,0,4,4,0,4,319,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-08,0,23,35,0,4,4,0,4,343,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-09,0,23,35,0,4,4,0,4,367,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-10,0,23,35,0,4,4,0,4,391,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-11,0,23,35,0,4,4,0,4,415,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-12,0,24,35,0,4,4,0,4,439,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-13,0,24,35,0,4,4,0,4,463,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-14,0,24,35,0,4,4,0,4,487,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-15,0,24,35,0,4,4,0,4,511,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-16,0,25,35,0,4,4,0,4,535,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-17,0,24,35,0,4,4,0,4,559,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-18,0,24,35,0,4,4,0,4,583,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-19,0,23,35,0,4,4,0,4,607,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-20,0,23,35,0,4,4,0,4,631,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-21,0,23,35,0,4,4,0,4,655,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-22,0,23,35,0,4,4,0,4,679,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-23,0,23,35,0,4,4,0,4,703,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-24,0,23,35,0,4,4,0,4,727,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-25,0,23,35,0,4,4,0,4,751,103,0,4,0,0,0,0,0,0,False,False,False
2014-04-26,0,23,35,0,4,4,0,4,775,103,0,4,0,0,0,0,25,0,False,False,False
2014-04-27,0,23,35,0,4,4,0,4,799,103,0,4,0,0,0,0,25,0,False,False,False
2014-04-28,0,23,35,0,4,4,0,4,823,103,0,4,0,0,0,0,25,0,False,False,False
2014-04-29,0,23,35,0,4,4,0,4,847,103,0,4,0,0,0,0,25,0,False,False,False
2014-04-30,0,23,35,0,4,4,0,4,871,103,0,4,0,0,0,0,25,0,False,False,False
2014-05-01,0,23,35,0,4,4,0,4,895,103,0,4,0,0,0,0,25,0,False,False,False
