date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,23,,0,,,,,9588,,,,,1,0,,,,False,False,False
2013-04-11,0,23,,196608,,,,,9612,,,,,1,0,,,,False,False,False
2013-04-12,0,23,,65536,,,,,9636,,,,,1,0,,,,False,False,False
2013-04-13,0,23,,131073,,,,,9660,,,,,1,0,,,,False,False,False
2013-04-14,0,23,,65536,,,,,9684,,,,,1,0,,,,False,False,False
2013-04-15,0,23,,65538,,,,,9708,,,,,1,0,,,,False,False,False
2013-04-16,0,23,,65539,,,,,9732,,,,,1,0,,,,False,False,False
2013-04-17,0,22,,65538,,,,,9756,,,,,1,0,,,,False,False,False
2013-04-18,0,23,,65536,,,,,9780,,,,,1,0,,,,False,False,False
2013-04-19,0,22,,2,,,,,9804,,,,,1,0,,,,False,False,False
2013-04-20,0,22,,196608,,,,,9828,,,,,1,0,,,,False,False,False
2013-04-21,0,22,,65536,,,,,9852,,,,,1,0,,,,False,False,False
2013-04-22,0,22,,0,,,,,9876,,,,,1,0,,,,False,False,False
2013-04-23,0,22,,65536,,,,,9900,,,,,1,0,,,,False,False,False
2013-04-24,0,22,,2,,,,,9924,,,,,1,0,,,,False,False,False
2013-04-25,0,21,,2,,,,,9948,,,,,1,0,,,,False,False,False
2013-04-26,0,22,,65536,,,,,9972,,,,,1,0,,,,False,False,False
2013-04-27,0,22,,5,,,,,9996,,,,,1,0,,,,False,False,False
2013-04-28,0,21,,65536,,,,,10020,,,,,1,0,,,,False,False,False
2013-04-29,0,21,,65537,,,,,10044,,,,,1,0,,,,False,False,False
2013-04-30,0,21,,327680,,,,,10068,,,,,1,0,,,,False,False,False
2013-05-01,0,22,,131074,,,,,10092,,,,,1,0,,,,False,False,False
2013-05-02,0,21,,65537,,,,,10116,,,,,1,0,,,,False,False,False
2013-05-03,0,21,,1,,,,,10140,,,,,1,0,,,,False,False,False
2013-05-04,0,21,,196608,,,,,10164,,,,,1,0,,,,False,False,False
2013-05-05,0,21,,0,,,,,10188,,,,,1,0,,,,False,False,False
2013-05-06,0,21,,0,,,,,10212,,,,,1,0,,,,False,False,False
2013-05-07,0,21,,0,,,,,10236,,,,,1,0,,,,False,False,False
2013-05-08,0,21,,131072,,,,,10260,,,,,1,0,,,,False,False,False
2013-05-09,0,21,,131072,,,,,10284,,,,,1,0,,,,False,False,False
2013-05-10,0,21,,65537,,,,,10308,,,,,1,0,,,,False,False,False
2013-05-11,0,21,,65538,,,,,10332,,,,,1,0,,,,False,False,False
2013-05-12,0,21,,65538,,,,,10356,,,,,1,0,,,,False,False,False
2013-05-13,0,21,,1,,,,,10380,,,,,1,0,,,,False,False,False
2013-05-14,0,21,,0,,,,,10404,,,,,1,0,,,,False,False,False
2013-05-15,0,21,,0,,,,,10428,,,,,1,0,,,,False,False,False
2013-05-16,0,21,,1,,,,,10452,,,,,1,0,,,,False,False,False
2013-05-17,0,22,,0,,,,,10476,,,,,1,0,,,,False,False,False
2013-05-18,0,21,,3,,,,,10500,,,,,1,0,,,,False,False,False
2013-05-19,0,21,,131072,,,,,10524,,,,,1,0,,,,False,False,False
2013-05-20,0,21,,1,,,,,10548,,,,,1,0,,,,False,False,False
2013-05-21,0,21,,65539,,,,,10572,,,,,1,0,,,,False,False,False
2013-05-22,0,21,,196608,,,,,10596,,,,,1,0,,,,False,False,False
2013-05-23,0,21,,65537,,,,,10620,,,,,1,0,,,,False,False,False
2013-05-24,0,21,,131073,,,,,10644,,,,,1,0,,,,False,False,False
2013-05-25,0,21,,0,,,,,10668,,,,,1,0,,,,False,False,False
2013-05-26,0,21,,0,,,,,10692,,,,,1,0,,,,False,False,False
2013-05-27,0,21,,1,,,,,10716,,,,,1,0,,,,False,False,False
2013-05-28,0,21,,3,,,,,10740,,,,,1,0,,,,False,False,False
2013-05-29,0,21,,65536,,,,,10764,,,,,1,0,,,,False,False,False
2013-05-30,0,21,,65537,,,,,10788,,,,,1,0,,,,False,False,False
2013-05-31,0,21,,1,,,,,10812,,,,,1,0,,,,False,False,False
2013-06-01,0,21,,131072,,,,,10836,,,,,1,0,,,,False,False,False
2013-06-02,0,21,,2,,,,,10860,,,,,1,0,,,,False,False,False
2013-06-03,0,21,,0,,,,,10884,,,,,1,0,,,,False,False,False
2013-06-04,0,22,,1,,,,,10908,,,,,1,0,,,,False,False,False
2013-06-05,0,21,,0,,,,,10932,,,,,1,0,,,,False,False,False
2013-06-06,0,21,,65537,,,,,10956,,,,,1,0,,,,False,False,False
2013-06-07,0,21,,65536,,,,,10980,,,,,1,0,,,,False,False,False
2013-06-08,0,21,,0,,,,,11004,,,,,1,0,,,,False,False,False
2013-06-09,0,21,,0,,,,,11028,,,,,1,0,,,,False,False,False
2013-06-10,0,21,,65537,,,,,11052,,,,,1,0,,,,False,False,False
2013-06-11,0,21,,0,,,,,11076,,,,,1,0,,,,False,False,False
2013-06-12,0,22,,65538,,,,,11100,,,,,1,0,,,,False,False,False
2013-06-13,0,22,,65536,,,,,11124,,,,,1,0,,,,False,False,False
2013-06-14,0,21,,0,,,,,11148,,,,,1,0,,,,False,False,False
2013-06-15,0,22,,0,,,,,11172,,,,,1,0,,,,False,False,False
2013-06-16,0,21,,65536,,,,,11196,,,,,1,0,,,,False,False,False
2013-06-17,0,21,,65538,,,,,11220,,,,,1,0,,,,False,False,False
2013-06-18,0,21,,0,,,,,11244,,,,,1,0,,,,False,False,False
2013-06-19,0,21,,2,,,,,11268,,,,,1,0,,,,False,False,False
2013-06-20,0,21,,0,,,,,11292,,,,,1,0,,,,False,False,False
2013-06-21,0,21,,65536,,,,,11316,,,,,1,0,,,,False,False,False
2013-06-22,0,21,,131073,,,,,11340,,,,,1,0,,,,False,False,False
2013-06-23,0,21,,65537,,,,,11364,,,,,1,0,,,,False,False,False
2013-06-24,0,21,,0,,,,,11388,,,,,1,0,,,,False,False,False
2013-06-25,0,21,,131079,,,,,11412,,,,,1,0,,,,False,False,False
2013-06-26,0,21,,65536,,,,,11436,,,,,1,0,,,,False,False,False
2013-06-27,0,22,,2,,,,,11460,,,,,1,0,,,,False,False,False
2013-06-28,0,21,,0,,,,,11484,,,,,1,0,,,,False,False,False
2013-06-29,0,21,,65536,,,,,11508,,,,,1,0,,,,False,False,False
2013-06-30,0,21,,0,,,,,11532,,,,,1,0,,,,False,False,False
2013-07-01,0,21,,0,,,,,11556,,,,,1,0,,,,False,False,False
2013-07-02,0,21,,0,,,,,11580,,,,,1,0,,,,False,False,False
2013-07-03,0,21,,1,,,,,11604,,,,,1,0,,,,False,False,False
2013-07-04,0,22,,1,,,,,11628,,,,,1,0,,,,False,False,False
2013-07-05,0,21,,196608,,,,,11652,,,,,1,0,,,,False,False,False
2013-07-06,0,21,,0,,,,,11676,,,,,1,0,,,,False,False,False
2013-07-07,0,21,,196608,,,,,11700,,,,,1,0,,,,False,False,False
2013-07-08,0,21,,65536,,,,,11724,,,,,1,0,,,,False,False,False
2013-07-09,0,22,,65537,,,,,11748,,,,,1,0,,,,False,False,False
2013-07-10,0,21,,65536,,,,,11772,,,,,1,0,,,,False,False,False
2013-07-11,0,21,,0,,,,,11796,,,,,1,0,,,,False,False,False
2013-07-12,0,21,,0,,,,,11820,,,,,1,0,,,,False,False,False
2013-07-13,0,21,,0,,,,,11844,,,,,1,0,,,,False,False,False
2013-07-14,0,21,,65536,,,,,11868,,,,,1,0,,,,False,False,False
2013-07-15,0,21,,0,,,,,11892,,,,,1,0,,,,False,False,False
2013-07-16,0,21,,1,,,,,11916,,,,,1,0,,,,False,False,False
2013-07-17,0,21,,1,,,,,11940,,,,,1,0,,,,False,False,False
2013-07-18,0,21,,0,,,,,11964,,,,,1,0,,,,False,False,False
2013-07-19,0,21,,65537,,,,,11988,,,,,1,0,,,,False,False,False
