date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,22,,0,,,,,15587,,,,,0,0,,,,False,False,False
2013-04-11,0,22,,0,,,,,15611,,,,,0,0,,,,False,False,False
2013-04-12,0,22,,0,,,,,15635,,,,,0,0,,,,False,False,False
2013-04-13,0,22,,0,,,,,15660,,,,,0,0,,,,False,False,False
2013-04-14,0,22,,0,,,,,15683,,,,,0,0,,,,False,False,False
2013-04-15,0,22,,0,,,,,15707,,,,,0,0,,,,False,False,False
2013-04-16,0,22,,0,,,,,15731,,,,,0,0,,,,False,False,False
2013-04-17,0,22,,0,,,,,15755,,,,,0,0,,,,False,False,False
2013-04-18,0,22,,0,,,,,15779,,,,,0,0,,,,False,False,False
2013-04-19,0,22,,0,,,,,15803,,,,,0,0,,,,False,False,False
2013-04-20,0,22,,0,,,,,15827,,,,,0,0,,,,False,False,False
2013-04-21,0,22,,0,,,,,15851,,,,,0,0,,,,False,False,False
2013-04-22,0,22,,0,,,,,15875,,,,,0,0,,,,False,False,False
2013-04-23,0,22,,0,,,,,15899,,,,,0,0,,,,False,False,False
2013-04-24,0,21,,0,,,,,15923,,,,,0,0,,,,False,False,False
2013-04-25,0,21,,0,,,,,15947,,,,,0,0,,,,False,False,False
2013-04-26,0,25,,0,,,,,15966,,,,,0,0,,,,False,False,False
2013-04-27,0,25,,0,,,,,15990,,,,,0,0,,,,False,False,False
2013-04-28,0,25,,0,,,,,16014,,,,,0,0,,,,False,False,False
2013-04-29,0,25,,0,,,,,16038,,,,,0,0,,,,False,False,False
2013-04-30,0,24,,0,,,,,16062,,,,,0,0,,,,False,False,False
2013-05-01,0,24,,0,,,,,16086,,,,,0,0,,,,False,False,False
2013-05-02,0,24,,0,,,,,16110,,,,,0,0,,,,False,False,False
2013-05-03,0,25,,0,,,,,16134,,,,,0,0,,,,False,False,False
2013-05-04,0,24,,0,,,,,16158,,,,,0,0,,,,False,False,False
2013-05-05,0,24,,0,,,,,16182,,,,,0,0,,,,False,False,False
2013-05-06,0,25,,0,,,,,16206,,,,,0,0,,,,False,False,False
2013-05-07,0,25,,0,,,,,16230,,,,,0,0,,,,False,False,False
2013-05-08,0,25,,0,,,,,16254,,,,,0,0,,,,False,False,False
2013-05-09,0,24,,0,,,,,16278,,,,,0,0,,,,False,False,False
2013-05-10,0,25,,0,,,,,16302,,,,,0,0,,,,False,False,False
2013-05-11,0,24,,0,,,,,16326,,,,,0,0,,,,False,False,False
2013-05-12,0,24,,0,,,,,16350,,,,,0,0,,,,False,False,False
2013-05-13,0,24,,0,,,,,16374,,,,,0,0,,,,False,False,False
2013-05-14,0,24,,0,,,,,16398,,,,,0,0,,,,False,False,False
2013-05-15,0,24,,0,,,,,16422,,,,,0,0,,,,False,False,False
2013-05-16,0,24,,0,,,,,16446,,,,,0,0,,,,False,False,False
2013-05-17,0,24,,0,,,,,16470,,,,,0,0,,,,False,False,False
2013-05-18,0,24,,0,,,,,16494,,,,,0,0,,,,False,False,False
2013-05-19,0,24,,0,,,,,16518,,,,,0,0,,,,False,False,False
2013-05-20,0,24,,0,,,,,16542,,,,,0,0,,,,False,False,False
2013-05-21,0,24,,0,,,,,16566,,,,,0,0,,,,False,False,False
2013-05-22,0,24,,0,,,,,16590,,,,,0,0,,,,False,False,False
2013-05-23,0,23,,0,,,,,16614,,,,,0,0,,,,False,False,False
2013-05-24,0,25,,0,,,,,16638,,,,,0,0,,,,False,False,False
2013-05-25,0,24,,0,,,,,16662,,,,,0,0,,,,False,False,False
2013-05-26,0,24,,0,,,,,16686,,,,,0,0,,,,False,False,False
2013-05-27,0,25,,0,,,,,16710,,,,,0,0,,,,False,False,False
2013-05-28,0,24,,0,,,,,16734,,,,,0,0,,,,False,False,False
2013-05-29,0,24,,0,,,,,16758,,,,,0,0,,,,False,False,False
2013-05-30,0,24,,0,,,,,16782,,,,,0,0,,,,False,False,False
2013-05-31,0,24,,0,,,,,16806,,,,,0,0,,,,False,False,False
2013-06-01,0,23,,0,,,,,16830,,,,,0,0,,,,False,False,False
2013-06-02,0,24,,0,,,,,16854,,,,,0,0,,,,False,False,False
2013-06-03,0,19,,0,,,,,16878,,,,,0,0,,,,False,False,False
2013-06-04,0,21,,0,,,,,16902,,,,,0,0,,,,False,False,False
2013-06-05,0,22,,0,,,,,16926,,,,,0,0,,,,False,False,False
2013-06-06,0,20,,0,,,,,16950,,,,,0,0,,,,False,False,False
2013-06-07,0,20,,0,,,,,16972,,,,,0,0,,,,False,False,False
2013-06-08,0,23,,0,,,,,16998,,,,,0,0,,,,False,False,False
2013-06-09,0,23,,0,,,,,17022,,,,,0,0,,,,False,False,False
2013-06-10,0,23,,0,,,,,17046,,,,,0,0,,,,False,False,False
2013-06-11,0,23,,0,,,,,17070,,,,,0,0,,,,False,False,False
2013-06-12,0,29,,0,,,,,17094,,,,,0,0,,,,False,False,False
2013-06-13,0,21,,0,,,,,17118,,,,,0,0,,,,False,False,False
2013-06-14,0,22,,0,,,,,17142,,,,,0,0,,,,False,False,False
2013-06-15,0,22,,0,,,,,17165,,,,,0,0,,,,False,False,False
2013-06-16,0,22,,0,,,,,17189,,,,,0,0,,,,False,False,False
2013-06-17,0,23,,0,,,,,17213,,,,,0,0,,,,False,False,False
2013-06-18,0,23,,0,,,,,17237,,,,,0,0,,,,False,False,False
2013-06-19,0,25,,0,,,,,17261,,,,,0,0,,,,False,False,False
2013-06-20,0,23,,0,,,,,17285,,,,,0,0,,,,False,False,False
2013-06-21,0,23,,0,,,,,17309,,,,,0,0,,,,False,False,False
2013-06-22,0,23,,0,,,,,17333,,,,,0,0,,,,False,False,False
2013-06-23,0,22,,0,,,,,17357,,,,,0,0,,,,False,False,False
2013-06-24,0,22,,0,,,,,17381,,,,,0,0,,,,False,False,False
2013-06-25,0,22,,0,,,,,17405,,,,,0,0,,,,False,False,False
2013-06-26,0,22,,0,,,,,17429,,,,,0,0,,,,False,False,False
2013-06-27,0,22,,0,,,,,17453,,,,,0,0,,,,False,False,False
2013-06-28,0,23,,0,,,,,17477,,,,,0,0,,,,False,False,False
2013-06-29,0,23,,0,,,,,17501,,,,,0,0,,,,False,False,False
2013-06-30,0,23,,0,,,,,17525,,,,,0,0,,,,False,False,False
2013-07-01,0,23,,4,,,,,17549,,,,,0,0,,,,False,False,False
2013-07-02,0,23,,0,,,,,17573,,,,,0,0,,,,False,False,False
2013-07-03,0,22,,0,,,,,17597,,,,,0,0,,,,False,False,False
2013-07-04,0,23,,0,,,,,17621,,,,,0,0,,,,False,False,False
2013-07-05,0,23,,0,,,,,17645,,,,,0,0,,,,False,False,False
2013-07-06,0,22,,0,,,,,17669,,,,,0,0,,,,False,False,False
2013-07-07,0,23,,0,,,,,17693,,,,,0,0,,,,False,False,False
2013-07-08,0,22,,0,,,,,17717,,,,,0,0,,,,False,False,False
2013-07-09,0,23,,0,,,,,17741,,,,,0,0,,,,False,False,False
2013-07-10,0,23,,0,,,,,17765,,,,,0,0,,,,False,False,False
2013-07-11,0,22,,0,,,,,17789,,,,,0,0,,,,False,False,False
2013-07-12,0,22,,0,,,,,17813,,,,,0,0,,,,False,False,False
2013-07-13,0,23,,0,,,,,17837,,,,,0,0,,,,False,False,False
2013-07-14,0,22,,0,,,,,17861,,,,,0,0,,,,False,False,False
2013-07-15,0,23,,0,,,,,17885,,,,,0,0,,,,False,False,False
2013-07-16,0,23,,1,,,,,17909,,,,,0,0,,,,False,False,False
2013-07-17,0,23,,0,,,,,17933,,,,,0,0,,,,False,False,False
2013-07-18,0,26,,2,,,,,17957,,,,,0,0,,,,False,False,False
2013-07-19,0,22,,0,,,,,17981,,,,,0,0,,,,False,False,False
2013-07-20,0,22,,0,,,,,18005,,,,,0,0,,,,False,False,False
2013-07-21,0,22,,0,,,,,18029,,,,,0,0,,,,False,False,False
