date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,23,,0,,,,,11163,,,,,0,0,,,
2013-04-11,0,23,,0,,,,,11188,,,,,0,0,,,
2013-04-12,0,27,,0,,,,,11211,,,,,0,0,,,
2013-04-13,0,27,,0,,,,,11236,,,,,0,0,,,
2013-04-14,0,27,,0,,,,,11259,,,,,0,0,,,
2013-04-15,0,27,,0,,,,,11283,,,,,0,0,,,
2013-04-16,0,27,,65538,,,,,11307,,,,,0,0,,,
2013-04-17,0,27,,131073,,,,,11332,,,,,0,0,,,
2013-04-18,0,27,,131082,,,,,11356,,,,,0,0,,,
2013-04-19,0,26,,0,,,,,11379,,,,,0,0,,,
2013-04-20,0,26,,0,,,,,11403,,,,,0,0,,,
2013-04-21,0,26,,0,,,,,11427,,,,,0,0,,,
2013-04-22,0,26,,0,,,,,11451,,,,,0,0,,,
2013-04-23,0,26,,262166,,,,,11475,,,,,0,0,,,
2013-04-24,0,24,,0,,,,,11500,,,,,0,0,,,
2013-04-25,0,23,,2,,,,,11524,,,,,0,0,,,
2013-04-26,0,23,,0,,,,,11548,,,,,0,0,,,
2013-04-27,0,22,,0,,,,,11571,,,,,0,0,,,
2013-04-28,0,21,,65537,,,,,11595,,,,,0,0,,,
2013-04-29,0,21,,65536,,,,,11619,,,,,0,0,,,
2013-04-30,0,22,,65536,,,,,11643,,,,,0,0,,,
2013-05-01,0,22,,0,,,,,11668,,,,,0,0,,,
2013-05-02,0,23,,0,,,,,11691,,,,,0,0,,,
2013-05-03,0,23,,0,,,,,11716,,,,,0,0,,,
2013-05-04,0,24,,0,,,,,11739,,,,,0,0,,,
2013-05-05,0,24,,0,,,,,11763,,,,,0,0,,,
2013-05-06,0,24,,0,,,,,11788,,,,,0,0,,,
2013-05-07,0,24,,0,,,,,11811,,,,,0,0,,,
2013-05-08,0,24,,0,,,,,11836,,,,,0,0,,,
2013-05-09,0,25,,65539,,,,,11860,,,,,0,0,,,
2013-05-10,0,25,,0,,,,,11883,,,,,0,0,,,
2013-05-11,0,25,,196608,,,,,11908,,,,,0,0,,,
2013-05-12,0,25,,0,,,,,11931,,,,,0,0,,,
2013-05-13,0,25,,0,,,,,11956,,,,,0,0,,,
2013-05-14,0,25,,0,,,,,11979,,,,,0,0,,,
2013-05-15,0,25,,0,,,,,12003,,,,,0,0,,,
2013-05-16,0,24,,0,,,,,12027,,,,,0,0,,,
2013-05-17,0,25,,0,,,,,12052,,,,,0,0,,,
2013-05-18,0,24,,0,,,,,12076,,,,,0,0,,,
2013-05-19,0,24,,0,,,,,12100,,,,,0,0,,,
2013-05-20,0,24,,0,,,,,12123,,,,,0,0,,,
2013-05-21,0,24,,0,,,,,12147,,,,,0,0,,,
2013-05-22,0,24,,0,,,,,12171,,,,,0,0,,,
2013-05-23,0,24,,0,,,,,12195,,,,,0,0,,,
2013-05-24,0,25,,0,,,,,12219,,,,,0,0,,,
2013-05-25,0,25,,0,,,,,12243,,,,,0,0,,,
2013-05-26,0,24,,0,,,,,12268,,,,,0,0,,,
2013-05-27,0,25,,0,,,,,12291,,,,,0,0,,,
2013-05-28,0,25,,0,,,,,12315,,,,,0,0,,,
2013-05-29,0,25,,65538,,,,,12340,,,,,0,0,,,
2013-05-30,0,25,,0,,,,,12363,,,,,0,0,,,
2013-05-31,0,25,,0,,,,,12388,,,,,0,0,,,
2013-06-01,0,25,,0,,,,,12411,,,,,0,0,,,
2013-06-02,0,25,,0,,,,,12435,,,,,0,0,,,
2013-06-03,0,25,,0,,,,,12459,,,,,0,0,,,
2013-06-04,0,25,,0,,,,,12483,,,,,0,0,,,
2013-06-05,0,25,,0,,,,,12508,,,,,0,0,,,
2013-06-06,0,25,,0,,,,,12531,,,,,0,0,,,
2013-06-07,0,25,,0,,,,,12556,,,,,0,0,,,
2013-06-08,0,25,,0,,,,,12579,,,,,0,0,,,
2013-06-09,0,25,,65536,,,,,12603,,,,,0,0,,,
