date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,28,,0,,,,,15586,,,,,129,0,,,,False,False,False
2013-04-11,0,28,,0,,,,,15610,,,,,129,0,,,,False,False,False
2013-04-12,0,28,,65536,,,,,15634,,,,,129,0,,,,False,False,False
2013-04-13,0,28,,0,,,,,15658,,,,,129,0,,,,False,False,False
2013-04-14,0,28,,0,,,,,15682,,,,,129,0,,,,False,False,False
2013-04-15,0,28,,0,,,,,15706,,,,,129,0,,,,False,False,False
2013-04-16,0,28,,786437,,,,,15730,,,,,129,0,,,,False,False,False
2013-04-17,0,28,,0,,,,,15754,,,,,129,0,,,,False,False,False
2013-04-18,0,28,,1,,,,,15778,,,,,129,0,,,,False,False,False
2013-04-19,0,28,,0,,,,,15802,,,,,129,0,,,,False,False,False
2013-04-20,0,28,,0,,,,,15826,,,,,129,0,,,,False,False,False
2013-04-21,0,28,,0,,,,,15850,,,,,129,0,,,,False,False,False
2013-04-22,0,28,,0,,,,,15874,,,,,129,0,,,,False,False,False
2013-04-23,0,28,,3,,,,,15898,,,,,129,0,,,,False,False,False
2013-04-24,0,27,,0,,,,,15922,,,,,129,0,,,,False,False,False
2013-04-25,0,26,,0,,,,,15946,,,,,129,0,,,,False,False,False
2013-04-26,0,29,,0,,,,,15965,,,,,129,0,,,,False,False,False
2013-04-27,0,29,,0,,,,,15989,,,,,129,0,,,,False,False,False
2013-04-28,0,29,,0,,,,,16013,,,,,129,0,,,,False,False,False
2013-04-29,0,29,,0,,,,,16037,,,,,129,0,,,,False,False,False
2013-04-30,0,29,,0,,,,,16061,,,,,129,0,,,,False,False,False
2013-05-01,0,28,,0,,,,,16085,,,,,129,0,,,,False,False,False
2013-05-02,0,28,,65549,,,,,16109,,,,,129,0,,,,False,False,False
2013-05-03,0,29,,0,,,,,16133,,,,,129,0,,,,False,False,False
2013-05-04,0,29,,0,,,,,16157,,,,,129,0,,,,False,False,False
2013-05-05,0,29,,0,,,,,16181,,,,,129,0,,,,False,False,False
2013-05-06,0,29,,0,,,,,16204,,,,,129,0,,,,False,False,False
2013-05-07,0,29,,0,,,,,16229,,,,,129,0,,,,False,False,False
2013-05-08,0,29,,0,,,,,16253,,,,,129,0,,,,False,False,False
2013-05-09,0,29,,1,,,,,16277,,,,,129,0,,,,False,False,False
2013-05-10,0,29,,327680,,,,,16301,,,,,129,0,,,,False,False,False
2013-05-11,0,28,,0,,,,,16325,,,,,129,0,,,,False,False,False
2013-05-12,0,28,,0,,,,,16349,,,,,129,0,,,,False,False,False
2013-05-13,0,29,,0,,,,,16373,,,,,129,0,,,,False,False,False
2013-05-14,0,28,,5,,,,,16397,,,,,129,0,,,,False,False,False
2013-05-15,0,28,,0,,,,,16421,,,,,129,0,,,,False,False,False
2013-05-16,0,29,,0,,,,,16445,,,,,129,0,,,,False,False,False
2013-05-17,0,29,,0,,,,,16469,,,,,129,0,,,,False,False,False
2013-05-18,0,28,,458757,,,,,16493,,,,,129,0,,,,False,False,False
2013-05-19,0,28,,0,,,,,16517,,,,,129,0,,,,False,False,False
2013-05-20,0,28,,0,,,,,16541,,,,,129,0,,,,False,False,False
2013-05-21,0,28,,0,,,,,16565,,,,,129,0,,,,False,False,False
2013-05-22,0,28,,0,,,,,16589,,,,,129,0,,,,False,False,False
2013-05-23,0,28,,0,,,,,16613,,,,,129,0,,,,False,False,False
2013-05-24,0,29,,1,,,,,16637,,,,,129,0,,,,False,False,False
2013-05-25,0,28,,0,,,,,16661,,,,,129,0,,,,False,False,False
2013-05-26,0,29,,851971,,,,,16685,,,,,129,0,,,,False,False,False
2013-05-27,0,28,,0,,,,,16709,,,,,129,0,,,,False,False,False
2013-05-28,0,28,,0,,,,,16733,,,,,129,0,,,,False,False,False
2013-05-29,0,28,,0,,,,,16757,,,,,129,0,,,,False,False,False
2013-05-30,0,29,,65536,,,,,16781,,,,,129,0,,,,False,False,False
2013-05-31,0,28,,0,,,,,16805,,,,,129,0,,,,False,False,False
2013-06-01,0,28,,0,,,,,16829,,,,,129,0,,,,False,False,False
2013-06-02,0,28,,0,,,,,16853,,,,,129,0,,,,False,False,False
2013-06-03,0,25,,196608,,,,,16877,,,,,129,0,,,,False,False,False
2013-06-04,0,25,,0,,,,,16901,,,,,129,0,,,,False,False,False
2013-06-05,0,26,,0,,,,,16925,,,,,129,0,,,,False,False,False
2013-06-06,0,25,,0,,,,,16949,,,,,129,0,,,,False,False,False
2013-06-07,0,25,,65537,,,,,16973,,,,,129,0,,,,False,False,False
2013-06-08,0,28,,0,,,,,16997,,,,,129,0,,,,False,False,False
2013-06-09,0,27,,0,,,,,17021,,,,,129,0,,,,False,False,False
2013-06-10,0,28,,0,,,,,17045,,,,,129,0,,,,False,False,False
2013-06-11,0,28,,1,,,,,17069,,,,,129,0,,,,False,False,False
2013-06-12,0,34,,0,,,,,17093,,,,,129,0,,,,False,False,False
2013-06-13,0,26,,0,,,,,17117,,,,,129,0,,,,False,False,False
2013-06-14,0,27,,0,,,,,17141,,,,,129,0,,,,False,False,False
2013-06-15,0,27,,0,,,,,17165,,,,,129,0,,,,False,False,False
2013-06-16,0,27,,0,,,,,17189,,,,,129,0,,,,False,False,False
2013-06-17,0,28,,0,,,,,17213,,,,,129,0,,,,False,False,False
2013-06-18,0,28,,0,,,,,17237,,,,,129,0,,,,False,False,False
2013-06-19,0,31,,393226,,,,,17261,,,,,129,0,,,,False,False,False
2013-06-20,0,27,,0,,,,,17285,,,,,129,0,,,,False,False,False
2013-06-21,0,27,,0,,,,,17309,,,,,129,0,,,,False,False,False
2013-06-22,0,28,,0,,,,,17333,,,,,129,0,,,,False,False,False
2013-06-23,0,27,,0,,,,,17357,,,,,129,0,,,,False,False,False
2013-06-24,0,26,,0,,,,,17381,,,,,129,0,,,,False,False,False
2013-06-25,0,27,,0,,,,,17405,,,,,129,0,,,,False,False,False
2013-06-26,0,27,,0,,,,,17429,,,,,129,0,,,,False,False,False
2013-06-27,0,27,,131083,,,,,17453,,,,,129,0,,,,False,False,False
2013-06-28,0,27,,0,,,,,17477,,,,,129,0,,,,False,False,False
2013-06-29,0,27,,0,,,,,17501,,,,,129,0,,,,False,False,False
2013-06-30,0,27,,0,,,,,17525,,,,,129,0,,,,False,False,False
2013-07-01,0,27,,0,,,,,17549,,,,,129,0,,,,False,False,False
2013-07-02,0,27,,0,,,,,17573,,,,,129,0,,,,False,False,False
2013-07-03,0,27,,262145,,,,,17597,,,,,129,0,,,,False,False,False
2013-07-04,0,27,,0,,,,,17621,,,,,129,0,,,,False,False,False
2013-07-05,0,28,,10092651,,,,,17645,,,,,129,0,,,,False,False,False
