date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,26,,0,,,,,4716,,,,,0,0,,,
2013-04-11,0,26,,0,,,,,4740,,,,,0,0,,,
2013-04-12,0,27,,0,,,,,4764,,,,,0,0,,,
2013-04-13,0,26,,0,,,,,4788,,,,,0,0,,,
2013-04-14,0,27,,0,,,,,4812,,,,,0,0,,,
2013-04-15,0,28,,0,,,,,4836,,,,,0,0,,,
2013-04-16,0,26,,0,,,,,4860,,,,,0,0,,,
2013-04-17,0,27,,0,,,,,4884,,,,,0,0,,,
2013-04-18,0,27,,0,,,,,4908,,,,,0,0,,,
2013-04-19,0,27,,0,,,,,4932,,,,,0,0,,,
2013-04-20,0,27,,0,,,,,4956,,,,,0,0,,,
2013-04-21,0,27,,0,,,,,4980,,,,,0,0,,,
2013-04-22,0,27,,0,,,,,5004,,,,,0,0,,,
2013-04-23,0,27,,0,,,,,5028,,,,,0,0,,,
2013-04-24,0,26,,0,,,,,5052,,,,,0,0,,,
2013-04-25,0,26,,0,,,,,5076,,,,,0,0,,,
2013-04-26,0,23,,0,,,,,5100,,,,,0,0,,,
2013-04-27,0,25,,0,,,,,5124,,,,,0,0,,,
2013-04-28,0,25,,0,,,,,5148,,,,,0,0,,,
2013-04-29,0,24,,0,,,,,5172,,,,,0,0,,,
2013-04-30,0,23,,0,,,,,5196,,,,,0,0,,,
2013-05-01,0,24,,0,,,,,5220,,,,,0,0,,,
2013-05-02,0,25,,0,,,,,5244,,,,,0,0,,,
2013-05-03,0,24,,0,,,,,5268,,,,,0,0,,,
2013-05-04,0,24,,0,,,,,5292,,,,,0,0,,,
2013-05-05,0,24,,0,,,,,5316,,,,,0,0,,,
2013-05-06,0,24,,0,,,,,5340,,,,,0,0,,,
2013-05-07,0,24,,0,,,,,5364,,,,,0,0,,,
2013-05-08,0,24,,0,,,,,5388,,,,,0,0,,,
2013-05-09,0,25,,0,,,,,5412,,,,,0,0,,,
2013-05-10,0,25,,0,,,,,5436,,,,,0,0,,,
2013-05-11,0,25,,0,,,,,5460,,,,,0,0,,,
2013-05-12,0,24,,0,,,,,5484,,,,,0,0,,,
2013-05-13,0,24,,0,,,,,5508,,,,,0,0,,,
2013-05-14,0,24,,0,,,,,5532,,,,,0,0,,,
2013-05-15,0,25,,0,,,,,5556,,,,,0,0,,,
2013-05-16,0,25,,0,,,,,5580,,,,,0,0,,,
2013-05-17,0,24,,0,,,,,5604,,,,,0,0,,,
