date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,29,,0,,,,,11491,,,,,0,0,,,
2013-04-11,0,29,,0,,,,,11515,,,,,0,0,,,
2013-04-12,0,29,,262145,,,,,11539,,,,,0,0,,,
2013-04-13,0,28,,1,,,,,11562,,,,,0,0,,,
2013-04-14,0,29,,65536,,,,,11586,,,,,0,0,,,
2013-04-15,0,28,,65536,,,,,11610,,,,,0,0,,,
2013-04-16,0,29,,3,,,,,11634,,,,,0,0,,,
2013-04-17,0,29,,0,,,,,11658,,,,,0,0,,,
2013-04-18,0,28,,65542,,,,,11682,,,,,0,0,,,
2013-04-19,0,28,,1,,,,,11707,,,,,0,0,,,
2013-04-20,0,28,,0,,,,,11730,,,,,0,0,,,
2013-04-21,0,28,,65536,,,,,11755,,,,,0,0,,,
2013-04-22,0,28,,65536,,,,,11778,,,,,0,0,,,
2013-04-23,0,28,,2,,,,,11803,,,,,0,0,,,
2013-04-24,0,30,,0,,,,,11821,,,,,0,0,,,
2013-04-25,0,30,,0,,,,,11845,,,,,0,0,,,
2013-04-26,0,30,,2,,,,,11869,,,,,0,0,,,
2013-04-27,0,30,,65538,,,,,11893,,,,,0,0,,,
2013-04-28,0,30,,65537,,,,,11917,,,,,0,0,,,
2013-04-29,0,29,,1,,,,,11941,,,,,0,0,,,
2013-04-30,0,26,,0,,,,,11965,,,,,0,0,,,
2013-05-01,0,27,,0,,,,,11989,,,,,0,0,,,
2013-05-02,0,30,,131072,,,,,12013,,,,,0,0,,,
2013-05-03,0,30,,0,,,,,12037,,,,,0,0,,,
2013-05-04,0,30,,0,,,,,12061,,,,,0,0,,,
2013-05-05,0,30,,65536,,,,,12085,,,,,0,0,,,
2013-05-06,0,30,,1,,,,,12109,,,,,0,0,,,
2013-05-07,0,30,,0,,,,,12133,,,,,0,0,,,
2013-05-08,0,28,,0,,,,,12157,,,,,0,0,,,
2013-05-09,0,28,,0,,,,,12181,,,,,0,0,,,
