date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,24,69,,,,,36316,,,,,,0,0,,,,False,False,False
2013-04-11,0,24,69,,,,,36339,,,,,,0,0,,,,False,False,False
2013-04-12,0,34,69,,,,,36362,,,,,,0,0,,,,False,False,False
2013-04-13,0,34,69,,,,,36386,,,,,,0,0,,,,False,False,False
2013-04-14,0,34,69,,,,,36409,,,,,,0,0,,,,False,False,False
2013-04-15,0,34,69,,,,,36432,,,,,,0,0,,,,False,False,False
2013-04-16,0,34,69,,,,,36456,,,,,,0,0,,,,False,False,False
2013-04-17,0,33,69,,,,,36479,,,,,,0,0,,,,False,False,False
2013-04-18,0,34,69,,,,,36502,,,,,,0,0,,,,False,False,False
2013-04-19,0,31,69,,,,,36525,,,,,,0,0,,,,False,False,False
2013-04-20,0,31,69,,,,,36549,,,,,,0,0,,,,False,False,False
2013-04-21,0,31,69,,,,,36572,,,,,,0,0,,,,False,False,False
2013-04-22,0,31,69,,,,,36595,,,,,,0,0,,,,False,False,False
2013-04-23,0,31,69,,,,,36618,,,,,,0,0,,,,False,False,False
2013-04-24,0,28,69,,,,,36642,,,,,,0,0,,,,False,False,False
2013-04-25,0,24,69,,,,,36665,,,,,,0,0,,,,False,False,False
2013-04-26,0,24,69,,,,,36689,,,,,,0,0,,,,False,False,False
2013-04-27,0,23,69,,,,,36713,,,,,,0,0,,,,False,False,False
2013-04-28,0,23,69,,,,,36737,,,,,,0,0,,,,False,False,False
2013-04-29,0,23,69,,,,,36761,,,,,,0,0,,,,False,False,False
2013-04-30,0,23,69,,,,,36785,,,,,,0,0,,,,False,False,False
2013-05-01,0,26,69,,,,,36809,,,,,,0,0,,,,False,False,False
2013-05-02,0,26,69,,,,,36832,,,,,,0,0,,,,False,False,False
2013-05-03,0,26,69,,,,,36855,,,,,,0,0,,,,False,False,False
2013-05-04,0,27,69,,,,,36879,,,,,,0,0,,,,False,False,False
2013-05-05,0,27,69,,,,,36902,,,,,,0,0,,,,False,False,False
2013-05-06,0,27,69,,,,,36926,,,,,,0,0,,,,False,False,False
2013-05-07,0,28,69,,,,,36949,,,,,,0,0,,,,False,False,False
2013-05-08,0,27,69,,,,,36972,,,,,,0,0,,,,False,False,False
2013-05-09,0,29,69,,,,,36996,,,,,,0,0,,,,False,False,False
2013-05-10,0,28,69,,,,,37019,,,,,,0,0,,,,False,False,False
2013-05-11,0,27,69,,,,,37043,,,,,,0,0,,,,False,False,False
2013-05-12,0,27,69,,,,,37066,,,,,,0,0,,,,False,False,False
2013-05-13,0,28,69,,,,,37089,,,,,,0,0,,,,False,False,False
2013-05-14,0,27,69,,,,,37112,,,,,,0,0,,,,False,False,False
2013-05-15,0,27,69,,,,,37136,,,,,,0,0,,,,False,False,False
2013-05-16,0,28,69,,,,,37159,,,,,,0,0,,,,False,False,False
2013-05-17,0,27,69,,,,,37182,,,,,,0,0,,,,False,False,False
2013-05-18,0,28,69,,,,,37206,,,,,,0,0,,,,False,False,False
2013-05-19,0,28,69,,,,,37229,,,,,,0,0,,,,False,False,False
2013-05-20,0,28,69,,,,,37252,,,,,,0,0,,,,False,False,False
2013-05-21,0,28,69,,,,,37276,,,,,,0,0,,,,False,False,False
2013-05-22,0,27,69,,,,,37299,,,,,,0,0,,,,False,False,False
2013-05-23,0,28,69,,,,,37322,,,,,,0,0,,,,False,False,False
2013-05-24,0,29,69,,,,,37346,,,,,,0,0,,,,False,False,False
2013-05-25,0,29,69,,,,,37369,,,,,,0,0,,,,False,False,False
2013-05-26,0,29,69,,,,,37392,,,,,,0,0,,,,False,False,False
2013-05-27,0,29,69,,,,,37416,,,,,,0,0,,,,False,False,False
2013-05-28,0,29,69,,,,,37439,,,,,,0,0,,,,False,False,False
2013-05-29,0,29,69,,,,,37462,,,,,,0,0,,,,False,False,False
2013-05-30,0,27,69,,,,,37485,,,,,,0,0,,,,False,False,False
2013-05-31,0,27,69,,,,,37509,,,,,,0,0,,,,False,False,False
2013-06-01,0,28,69,,,,,37532,,,,,,0,0,,,,False,False,False
2013-06-02,0,27,69,,,,,37556,,,,,,0,0,,,,False,False,False
2013-06-03,0,27,69,,,,,37579,,,,,,0,0,,,,False,False,False
2013-06-04,0,28,69,,,,,37602,,,,,,0,0,,,,False,False,False
2013-06-05,0,28,69,,,,,37626,,,,,,0,0,,,,False,False,False
2013-06-06,0,28,69,,,,,37649,,,,,,0,0,,,,False,False,False
2013-06-07,0,28,69,,,,,37672,,,,,,0,0,,,,False,False,False
2013-06-08,0,27,69,,,,,37696,,,,,,0,0,,,,False,False,False
2013-06-09,0,27,69,,,,,37719,,,,,,0,0,,,,False,False,False
2013-06-10,0,27,69,,,,,37742,,,,,,0,0,,,,False,False,False
2013-06-11,0,27,69,,,,,37766,,,,,,0,0,,,,False,False,False
2013-06-12,0,28,69,,,,,37789,,,,,,0,0,,,,False,False,False
2013-06-13,0,28,69,,,,,37812,,,,,,0,0,,,,False,False,False
2013-06-14,0,27,69,,,,,37836,,,,,,0,0,,,,False,False,False
2013-06-15,0,27,69,,,,,37859,,,,,,0,0,,,,False,False,False
2013-06-16,0,28,69,,,,,37883,,,,,,0,0,,,,False,False,False
2013-06-17,0,27,69,,,,,37906,,,,,,0,0,,,,False,False,False
2013-06-18,0,27,69,,,,,37929,,,,,,0,0,,,,False,False,False
2013-06-19,0,27,69,,,,,37953,,,,,,0,0,,,,False,False,False
2013-06-20,0,28,69,,,,,37976,,,,,,0,0,,,,False,False,False
2013-06-21,0,28,69,,,,,37999,,,,,,0,0,,,,False,False,False
2013-06-22,0,28,69,,,,,38023,,,,,,0,0,,,,False,False,False
2013-06-23,0,28,69,,,,,38046,,,,,,0,0,,,,False,False,False
2013-06-24,0,28,69,,,,,38069,,,,,,0,0,,,,False,False,False
2013-06-25,0,28,69,,,,,38093,,,,,,0,0,,,,False,False,False
2013-06-26,0,28,69,,,,,38116,,,,,,0,0,,,,False,False,False
2013-06-27,0,28,69,,,,,38139,,,,,,0,0,,,,False,False,False
2013-06-28,0,29,69,,,,,38163,,,,,,0,0,,,,False,False,False
2013-06-29,0,28,69,,,,,38186,,,,,,0,0,,,,False,False,False
2013-06-30,0,28,69,,,,,38209,,,,,,0,0,,,,False,False,False
2013-07-01,0,29,69,,,,,38233,,,,,,0,0,,,,False,False,False
2013-07-02,0,29,69,,,,,38256,,,,,,0,0,,,,False,False,False
2013-07-03,0,28,69,,,,,38279,,,,,,0,0,,,,False,False,False
2013-07-04,0,29,69,,,,,38303,,,,,,0,0,,,,False,False,False
2013-07-05,0,28,69,,,,,38326,,,,,,0,0,,,,False,False,False
2013-07-06,0,29,69,,,,,38349,,,,,,0,0,,,,False,False,False
2013-07-07,0,29,69,,,,,38373,,,,,,0,0,,,,False,False,False
2013-07-08,0,29,69,,,,,38396,,,,,,0,0,,,,False,False,False
2013-07-09,0,29,69,,,,,38419,,,,,,0,0,,,,False,False,False
2013-07-10,0,29,69,,,,,38442,,,,,,0,0,,,,False,False,False
2013-07-11,0,28,69,,,,,38466,,,,,,0,0,,,,False,False,False
2013-07-12,0,28,69,,,,,38489,,,,,,0,0,,,,False,False,False
2013-07-13,0,28,69,,,,,38513,,,,,,0,0,,,,False,False,False
2013-07-14,0,28,69,,,,,38536,,,,,,0,0,,,,False,False,False
2013-07-15,0,27,69,,,,,38559,,,,,,0,0,,,,False,False,False
2013-07-16,0,28,69,,,,,38583,,,,,,0,0,,,,False,False,False
2013-07-17,0,27,69,,,,,38606,,,,,,0,0,,,,False,False,False
2013-07-18,0,28,69,,,,,38629,,,,,,0,0,,,,False,False,False
2013-07-19,0,27,69,,,,,38653,,,,,,0,0,,,,False,False,False
2013-07-20,0,28,69,,,,,38676,,,,,,0,0,,,,False,False,False
2013-07-21,0,27,69,,,,,38700,,,,,,0,0,,,,False,False,False
2013-07-22,0,28,69,,,,,38723,,,,,,0,0,,,,False,False,False
2013-07-23,0,27,69,,,,,38746,,,,,,0,0,,,,False,False,False
2013-07-24,0,27,69,,,,,38770,,,,,,0,0,,,,False,False,False
2013-07-25,0,27,69,,,,,38793,,,,,,0,0,,,,False,False,False
2013-07-26,0,27,69,,,,,38816,,,,,,0,0,,,,False,False,False
2013-07-27,0,28,69,,,,,38840,,,,,,0,0,,,,False,False,False
2013-07-28,0,27,69,,,,,38863,,,,,,0,0,,,,False,False,False
2013-07-29,0,27,69,,,,,38886,,,,,,0,0,,,,False,False,False
2013-07-30,0,28,69,,,,,38910,,,,,,0,0,,,,False,False,False
2013-07-31,0,28,69,,,,,38933,,,,,,0,0,,,,False,False,False
2013-08-01,0,27,69,,,,,38956,,,,,,0,0,,,,False,False,False
2013-08-02,0,27,69,,,,,38980,,,,,,0,0,,,,False,False,False
2013-08-03,0,28,69,,,,,39003,,,,,,0,0,,,,False,False,False
2013-08-04,0,28,69,,,,,39026,,,,,,0,0,,,,False,False,False
2013-08-05,0,28,69,,,,,39050,,,,,,0,0,,,,False,False,False
2013-08-06,0,27,69,,,,,39073,,,,,,0,0,,,,False,False,False
2013-08-07,0,27,69,,,,,39096,,,,,,0,0,,,,False,False,False
2013-08-08,0,27,69,,,,,39120,,,,,,0,0,,,,False,False,False
2013-08-09,0,27,69,,,,,39143,,,,,,0,0,,,,False,False,False
2013-08-10,0,27,69,,,,,39167,,,,,,0,0,,,,False,False,False
2013-08-11,0,27,69,,,,,39190,,,,,,0,0,,,,False,False,False
2013-08-12,0,27,69,,,,,39213,,,,,,0,0,,,,False,False,False
2013-08-13,0,28,69,,,,,39237,,,,,,0,0,,,,False,False,False
2013-08-14,0,27,69,,,,,39260,,,,,,0,0,,,,False,False,False
2013-08-15,0,27,69,,,,,39283,,,,,,0,0,,,,False,False,False
2013-08-16,0,27,69,,,,,39306,,,,,,0,0,,,,False,False,False
2013-08-17,0,27,69,,,,,39330,,,,,,0,0,,,,False,False,False
2013-08-18,0,27,69,,,,,39353,,,,,,0,0,,,,False,False,False
2013-08-19,0,27,69,,,,,39377,,,,,,0,0,,,,False,False,False
2013-10-15,0,24,69,,,,,40706,,,,,,0,0,,,,False,False,False
2013-10-16,0,24,69,,,,,40730,,,,,,0,0,,,,False,False,False
2013-10-17,0,24,69,,,,,40753,,,,,,0,0,,,,False,False,False
2013-10-18,0,25,69,,,,,40777,,,,,,0,0,,,,False,False,False
2013-10-19,0,24,69,,,,,40800,,,,,,0,0,,,,False,False,False
2013-10-20,0,24,69,,,,,40823,,,,,,0,0,,,,False,False,False
2013-10-21,0,24,69,,,,,40846,,,,,,0,0,,,,False,False,False
2013-10-22,0,24,69,,,,,40870,,,,,,0,0,,,,False,False,False
2013-10-23,0,24,69,,,,,40893,,,,,,0,0,,,,False,False,False
2013-10-24,0,24,69,,,,,40916,,,,,,0,0,,,,False,False,False
2013-10-25,0,24,69,,,,,40940,,,,,,0,0,,,,False,False,False
2013-10-26,0,24,69,,,,,40963,,,,,,0,0,,,,False,False,False
2013-10-27,0,24,69,,,,,40986,,,,,,0,0,,,,False,False,False
2013-10-28,0,24,69,,,,,41010,,,,,,0,0,,,,False,False,False
2013-10-29,0,24,69,,,,,41033,,,,,,0,0,,,,False,False,False
2013-10-30,0,24,69,,,,,41056,,,,,,0,0,,,,False,False,False
2013-10-31,0,24,69,,,,,41080,,,,,,0,0,,,,False,False,False
2013-11-01,0,24,69,,,,,41103,,,,,,0,0,,,,False,False,False
2013-11-02,0,24,69,,,,,41127,,,,,,0,0,,,,False,False,False
2013-11-03,0,24,69,,,,,41150,,,,,,0,0,,,,False,False,False
2013-11-04,0,24,69,,,,,41174,,,,,,0,0,,,,False,False,False
2013-11-05,0,24,69,,,,,41198,,,,,,0,0,,,,False,False,False
2013-11-06,0,24,69,,,,,41221,,,,,,0,0,,,,False,False,False
2013-11-07,0,23,69,,,,,41244,,,,,,0,0,,,,False,False,False
2013-11-08,0,24,69,,,,,41267,,,,,,0,0,,,,False,False,False
2013-11-09,0,24,69,,,,,41291,,,,,,0,0,,,,False,False,False
2013-11-10,0,24,69,,,,,41314,,,,,,0,0,,,,False,False,False
2013-11-11,0,24,69,,,,,41338,,,,,,0,0,,,,False,False,False
2013-11-12,0,24,69,,,,,41361,,,,,,0,0,,,,False,False,False
