date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,34,0,,,,,36070,,,,,,0,0,,,
2013-04-11,0,34,0,,,,,36093,,,,,,0,0,,,
2013-04-12,0,34,0,,,,,36116,,,,,,0,0,,,
2013-04-13,0,34,0,,,,,36140,,,,,,0,0,,,
2013-04-14,0,34,0,,,,,36163,,,,,,0,0,,,
2013-04-15,0,34,0,,,,,36186,,,,,,0,0,,,
2013-04-16,0,34,0,,,,,36209,,,,,,0,0,,,
2013-04-17,0,34,0,,,,,36232,,,,,,0,0,,,
2013-04-18,0,34,0,,,,,36256,,,,,,0,0,,,
2013-04-19,0,34,0,,,,,36279,,,,,,0,0,,,
2013-04-20,0,34,0,,,,,36303,,,,,,0,0,,,
2013-04-21,0,34,0,,,,,36326,,,,,,0,0,,,
2013-04-22,0,33,0,,,,,36349,,,,,,0,0,,,
2013-04-23,0,33,0,,,,,36372,,,,,,0,0,,,
2013-04-24,0,34,0,,,,,36395,,,,,,0,0,,,
2013-04-25,0,33,0,,,,,36419,,,,,,0,0,,,
2013-04-26,0,33,0,,,,,36442,,,,,,0,0,,,
2013-04-27,0,33,0,,,,,36465,,,,,,0,0,,,
2013-04-28,0,32,0,,,,,36488,,,,,,0,0,,,
2013-04-29,0,32,0,,,,,36511,,,,,,0,0,,,
2013-04-30,0,31,0,,,,,36535,,,,,,0,0,,,
2013-05-01,0,31,0,,,,,36558,,,,,,0,0,,,
2013-05-02,0,31,0,,,,,36581,,,,,,0,0,,,
2013-05-03,0,31,0,,,,,36605,,,,,,0,0,,,
2013-05-04,0,31,0,,,,,36628,,,,,,0,0,,,
2013-05-05,0,32,0,,,,,36651,,,,,,0,0,,,
2013-05-06,0,30,0,,,,,36674,,,,,,0,0,,,
2013-05-07,0,30,0,,,,,36697,,,,,,0,0,,,
2013-05-08,0,30,0,,,,,36721,,,,,,0,0,,,
2013-05-09,0,31,0,,,,,36744,,,,,,0,0,,,
2013-05-10,0,31,0,,,,,36767,,,,,,0,0,,,
2013-05-11,0,31,0,,,,,36791,,,,,,0,0,,,
2013-05-12,0,31,0,,,,,36814,,,,,,0,0,,,
2013-05-13,0,31,0,,,,,36837,,,,,,0,0,,,
2013-05-14,0,31,0,,,,,36861,,,,,,0,0,,,
2013-05-15,0,30,0,,,,,36884,,,,,,0,0,,,
