date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,23,0,,,,,14027,,,,,,1,0,,,
2013-04-11,0,23,0,,,,,14050,,,,,,1,0,,,
2013-04-12,0,23,0,,,,,14074,,,,,,1,0,,,
2013-04-13,0,22,0,,,,,14098,,,,,,1,0,,,
2013-04-14,0,22,0,,,,,14122,,,,,,1,0,,,
2013-04-15,0,22,0,,,,,14146,,,,,,1,0,,,
2013-04-16,0,23,0,,,,,14170,,,,,,1,0,,,
2013-04-17,0,23,0,,,,,14194,,,,,,1,0,,,
2013-04-18,0,23,0,,,,,14218,,,,,,1,0,,,
2013-04-19,0,23,0,,,,,14242,,,,,,1,0,,,
2013-04-20,0,23,0,,,,,14265,,,,,,1,0,,,
2013-04-21,0,23,0,,,,,14289,,,,,,1,0,,,
2013-04-22,0,23,0,,,,,14313,,,,,,1,0,,,
2013-04-23,0,23,0,,,,,14337,,,,,,1,0,,,
2013-04-24,0,23,0,,,,,14361,,,,,,1,0,,,
2013-04-25,0,23,0,,,,,14385,,,,,,1,0,,,
2013-04-26,0,23,0,,,,,14409,,,,,,1,0,,,
2013-04-27,0,23,0,,,,,14433,,,,,,1,0,,,
2013-04-28,0,23,0,,,,,14457,,,,,,1,0,,,
2013-04-29,0,22,0,,,,,14480,,,,,,1,0,,,
2013-04-30,0,23,0,,,,,14504,,,,,,1,0,,,
2013-05-01,0,24,0,,,,,14529,,,,,,1,0,,,
2013-05-02,0,23,0,,,,,14552,,,,,,1,0,,,
2013-05-03,0,23,0,,,,,14576,,,,,,1,0,,,
2013-05-04,0,23,0,,,,,14600,,,,,,1,0,,,
2013-05-05,0,23,0,,,,,14624,,,,,,1,0,,,
2013-05-06,0,23,0,,,,,14648,,,,,,1,0,,,
2013-05-07,0,23,0,,,,,14672,,,,,,1,0,,,
2013-05-08,0,23,0,,,,,14696,,,,,,1,0,,,
2013-05-09,0,23,0,,,,,14720,,,,,,1,0,,,
2013-05-10,0,23,0,,,,,14744,,,,,,1,0,,,
2013-05-11,0,23,0,,,,,14768,,,,,,1,0,,,
2013-05-12,0,23,0,,,,,14792,,,,,,1,0,,,
2013-05-13,0,23,0,,,,,14816,,,,,,1,0,,,
2013-05-14,0,23,0,,,,,14840,,,,,,1,0,,,
2013-05-15,0,23,0,,,,,14864,,,,,,1,0,,,
2013-05-16,0,23,0,,,,,14888,,,,,,1,0,,,
2013-05-17,0,23,0,,,,,14912,,,,,,1,0,,,
2013-05-18,0,23,0,,,,,14935,,,,,,1,0,,,
2013-05-19,0,23,0,,,,,14959,,,,,,1,0,,,
2013-05-20,0,23,0,,,,,14983,,,,,,1,0,,,
2013-05-21,0,23,0,,,,,15007,,,,,,1,0,,,
2013-05-22,0,23,0,,,,,15031,,,,,,1,0,,,
2013-05-23,0,23,0,,,,,15055,,,,,,1,0,,,
2013-05-24,0,23,0,,,,,15079,,,,,,1,0,,,
2013-05-25,0,23,0,,,,,15103,,,,,,1,0,,,
2013-05-26,0,23,0,,,,,15126,,,,,,1,0,,,
2013-05-27,0,23,0,,,,,15150,,,,,,1,0,,,
2013-05-28,0,23,0,,,,,15174,,,,,,1,0,,,
2013-05-29,0,23,0,,,,,15198,,,,,,1,0,,,
2013-05-30,0,23,0,,,,,15222,,,,,,1,0,,,
