date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,25,0,,,,,11327,,,,,,0,0,,,,False,False,False
2013-04-11,0,25,0,,,,,11351,,,,,,0,0,,,,False,False,False
2013-04-12,0,25,0,,,,,11375,,,,,,0,0,,,,False,False,False
2013-04-13,0,25,0,,,,,11399,,,,,,0,0,,,,False,False,False
2013-04-14,0,25,0,,,,,11423,,,,,,0,0,,,,False,False,False
2013-04-15,0,25,0,,,,,11447,,,,,,0,0,,,,False,False,False
2013-04-16,0,25,0,,,,,11471,,,,,,0,0,,,,False,False,False
2013-04-17,0,25,0,,,,,11495,,,,,,0,0,,,,False,False,False
2013-04-18,0,25,0,,,,,11518,,,,,,0,0,,,,False,False,False
2013-04-19,0,25,0,,,,,11543,,,,,,0,0,,,,False,False,False
2013-04-20,0,25,0,,,,,11566,,,,,,0,0,,,,False,False,False
2013-04-21,0,25,0,,,,,11590,,,,,,0,0,,,,False,False,False
2013-04-22,0,25,0,,,,,11614,,,,,,0,0,,,,False,False,False
2013-04-23,0,25,0,,,,,11638,,,,,,0,0,,,,False,False,False
2013-04-24,0,25,0,,,,,11662,,,,,,0,0,,,,False,False,False
2013-04-25,0,25,0,,,,,11686,,,,,,0,0,,,,False,False,False
2013-04-26,0,24,0,,,,,11710,,,,,,0,0,,,,False,False,False
2013-04-27,0,24,0,,,,,11734,,,,,,0,0,,,,False,False,False
2013-04-28,0,23,0,,,,,11758,,,,,,0,0,,,,False,False,False
2013-04-29,0,23,0,,,,,11782,,,,,,0,0,,,,False,False,False
2013-04-30,0,24,0,,,,,11806,,,,,,0,0,,,,False,False,False
2013-05-01,0,24,0,,,,,11830,,,,,,0,0,,,,False,False,False
2013-05-02,0,24,0,,,,,11854,,,,,,0,0,,,,False,False,False
2013-05-03,0,24,0,,,,,11878,,,,,,0,0,,,,False,False,False
2013-05-04,0,23,0,,,,,11902,,,,,,0,0,,,,False,False,False
2013-05-05,0,24,0,,,,,11926,,,,,,0,0,,,,False,False,False
2013-05-06,0,24,0,,,,,11950,,,,,,0,0,,,,False,False,False
2013-05-07,0,24,0,,,,,11974,,,,,,0,0,,,,False,False,False
2013-05-08,0,24,0,,,,,11997,,,,,,0,0,,,,False,False,False
2013-05-09,0,24,0,,,,,12021,,,,,,0,0,,,,False,False,False
2013-05-10,0,24,0,,,,,12045,,,,,,0,0,,,,False,False,False
2013-05-11,0,24,0,,,,,12069,,,,,,0,0,,,,False,False,False
2013-05-12,0,24,0,,,,,12093,,,,,,0,0,,,,False,False,False
2013-05-13,0,24,0,,,,,12117,,,,,,0,0,,,,False,False,False
2013-05-14,0,24,0,,,,,12141,,,,,,0,0,,,,False,False,False
2013-05-15,0,24,0,,,,,12165,,,,,,0,0,,,,False,False,False
2013-05-16,0,24,0,,,,,12189,,,,,,0,0,,,,False,False,False
2013-05-17,0,24,0,,,,,12213,,,,,,0,0,,,,False,False,False
2013-05-18,0,24,0,,,,,12237,,,,,,0,0,,,,False,False,False
2013-05-19,0,24,0,,,,,12261,,,,,,0,0,,,,False,False,False
2013-05-20,0,24,0,,,,,12285,,,,,,0,0,,,,False,False,False
2013-05-21,0,24,0,,,,,12309,,,,,,0,0,,,,False,False,False
2013-05-22,0,24,0,,,,,12333,,,,,,0,0,,,,False,False,False
2013-05-23,0,24,0,,,,,12357,,,,,,0,0,,,,False,False,False
2013-05-24,0,24,0,,,,,12380,,,,,,0,0,,,,False,False,False
2013-05-25,0,24,0,,,,,12404,,,,,,0,0,,,,False,False,False
2013-05-26,0,24,0,,,,,12428,,,,,,0,0,,,,False,False,False
2013-05-27,0,24,0,,,,,12452,,,,,,0,0,,,,False,False,False
2013-05-28,0,24,0,,,,,12476,,,,,,0,0,,,,False,False,False
2013-05-29,0,24,0,,,,,12500,,,,,,0,0,,,,False,False,False
2013-05-30,0,24,0,,,,,12524,,,,,,0,0,,,,False,False,False
2013-05-31,0,24,0,,,,,12548,,,,,,0,0,,,,False,False,False
2013-06-01,0,24,0,,,,,12572,,,,,,0,0,,,,False,False,False
2013-06-02,0,24,0,,,,,12596,,,,,,0,0,,,,False,False,False
2013-06-03,0,24,0,,,,,12620,,,,,,0,0,,,,False,False,False
2013-06-04,0,24,0,,,,,12644,,,,,,0,0,,,,False,False,False
2013-06-05,0,24,0,,,,,12668,,,,,,0,0,,,,False,False,False
2013-06-06,0,24,0,,,,,12692,,,,,,0,0,,,,False,False,False
2013-06-07,0,24,0,,,,,12716,,,,,,0,0,,,,False,False,False
2013-06-08,0,24,0,,,,,12739,,,,,,0,0,,,,False,False,False
2013-06-09,0,23,0,,,,,12763,,,,,,0,0,,,,False,False,False
2013-06-10,0,24,0,,,,,12787,,,,,,0,0,,,,False,False,False
2013-06-11,0,24,0,,,,,12811,,,,,,0,0,,,,False,False,False
2013-06-12,0,24,0,,,,,12834,,,,,,0,0,,,,False,False,False
2013-06-13,0,24,0,,,,,12858,,,,,,0,0,,,,False,False,False
2013-06-14,0,25,0,,,,,12883,,,,,,0,0,,,,False,False,False
2013-06-15,0,24,0,,,,,12906,,,,,,0,0,,,,False,False,False
2013-06-16,0,24,0,,,,,12930,,,,,,0,0,,,,False,False,False
2013-06-17,0,25,0,,,,,12954,,,,,,0,0,,,,False,False,False
2013-06-18,0,25,0,,,,,12978,,,,,,0,0,,,,False,False,False
2013-06-19,0,24,0,,,,,13002,,,,,,0,0,,,,False,False,False
2013-06-20,0,24,0,,,,,13026,,,,,,0,0,,,,False,False,False
2013-06-21,0,24,0,,,,,13050,,,,,,0,0,,,,False,False,False
2013-06-22,0,24,0,,,,,13073,,,,,,0,0,,,,False,False,False
2013-06-23,0,24,0,,,,,13097,,,,,,0,0,,,,False,False,False
2013-06-24,0,24,0,,,,,13121,,,,,,0,0,,,,False,False,False
2013-06-25,0,24,0,,,,,13145,,,,,,0,0,,,,False,False,False
2013-06-26,0,24,0,,,,,13169,,,,,,0,0,,,,False,False,False
2013-06-27,0,24,0,,,,,13193,,,,,,0,0,,,,False,False,False
2013-06-28,0,24,0,,,,,13217,,,,,,0,0,,,,False,False,False
2013-06-29,0,24,0,,,,,13241,,,,,,0,0,,,,False,False,False
2013-06-30,0,24,0,,,,,13265,,,,,,0,0,,,,False,False,False
2013-07-01,0,25,0,,,,,13289,,,,,,0,0,,,,False,False,False
2013-07-02,0,25,0,,,,,13313,,,,,,0,0,,,,False,False,False
2013-07-03,0,24,0,,,,,13337,,,,,,0,0,,,,False,False,False
2013-07-04,0,24,0,,,,,13361,,,,,,0,0,,,,False,False,False
2013-07-05,0,24,0,,,,,13385,,,,,,0,0,,,,False,False,False
2013-07-06,0,24,0,,,,,13409,,,,,,0,0,,,,False,False,False
2013-07-07,0,24,0,,,,,13433,,,,,,0,0,,,,False,False,False
2013-07-08,0,25,0,,,,,13457,,,,,,0,0,,,,False,False,False
2013-07-09,0,24,0,,,,,13481,,,,,,0,0,,,,False,False,False
2013-07-10,0,24,0,,,,,13505,,,,,,0,0,,,,False,False,False
2013-07-11,0,24,0,,,,,13529,,,,,,0,0,,,,False,False,False
2013-07-12,0,24,0,,,,,13552,,,,,,0,0,,,,False,False,False
2013-07-13,0,24,0,,,,,13576,,,,,,0,0,,,,False,False,False
2013-07-14,0,24,0,,,,,13600,,,,,,0,0,,,,False,False,False
2013-07-15,0,24,0,,,,,13624,,,,,,0,0,,,,False,False,False
2013-07-16,0,24,0,,,,,13648,,,,,,0,0,,,,False,False,False
2013-07-17,0,24,0,,,,,13672,,,,,,0,0,,,,False,False,False
2013-07-18,0,24,0,,,,,13696,,,,,,0,0,,,,False,False,False
2013-07-19,0,24,0,,,,,13720,,,,,,0,0,,,,False,False,False
2013-07-20,0,24,0,,,,,13744,,,,,,0,0,,,,False,False,False
2013-07-21,0,24,0,,,,,13768,,,,,,0,0,,,,False,False,False
2013-07-22,0,24,0,,,,,13792,,,,,,0,0,,,,False,False,False
2013-07-23,0,24,0,,,,,13816,,,,,,0,0,,,,False,False,False
2013-07-24,0,24,0,,,,,13840,,,,,,0,0,,,,False,False,False
2013-07-25,0,24,0,,,,,13864,,,,,,0,0,,,,False,False,False
2013-07-26,0,24,0,,,,,13888,,,,,,0,0,,,,False,False,False
2013-07-27,0,24,0,,,,,13911,,,,,,0,0,,,,False,False,False
2013-07-28,0,24,0,,,,,13935,,,,,,0,0,,,,False,False,False
2013-07-29,0,24,0,,,,,13959,,,,,,0,0,,,,False,False,False
2013-07-30,0,24,0,,,,,13983,,,,,,0,0,,,,False,False,False
2013-07-31,0,24,0,,,,,14007,,,,,,0,0,,,,False,False,False
2013-08-01,0,24,0,,,,,14031,,,,,,0,0,,,,False,False,False
2013-08-02,0,24,0,,,,,14055,,,,,,0,0,,,,False,False,False
