date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2015-08-11,0,23,0,1,1,0,0,13,0,1,0,0,0,0,0,0,0,0,False,False,False
2015-08-12,0,23,0,1,1,0,0,37,0,1,0,0,0,0,0,0,0,0,False,False,False
2015-08-13,0,22,0,1,1,0,0,60,0,2,0,0,0,0,0,0,0,0,False,False,False
2015-08-14,0,22,0,1,1,0,0,84,0,3,0,0,0,0,0,0,0,0,False,False,False
2015-08-15,0,24,0,1,1,0,0,109,0,4,0,0,0,0,0,0,0,0,False,False,False
2015-08-16,0,24,0,1,1,0,0,132,0,5,0,0,0,0,0,0,0,0,False,False,False
2015-08-17,0,23,0,1,1,0,0,156,0,6,0,0,0,0,0,0,0,0,False,False,False
2015-08-18,0,24,0,1,1,0,0,180,0,7,0,0,0,0,0,0,0,0,False,False,False
2015-08-19,0,24,0,1,1,0,0,204,0,8,0,0,0,0,0,0,0,0,False,False,False
2015-08-20,0,24,0,1,1,0,0,228,0,9,0,0,0,0,0,0,0,0,False,False,False
2015-08-21,0,22,0,1,1,0,0,252,0,10,0,0,0,0,0,0,0,0,False,False,False
2015-08-22,0,23,0,1,1,0,0,276,0,10,0,0,0,0,0,0,0,0,False,False,False
2015-08-23,0,24,0,1,1,0,0,300,0,11,0,0,0,0,0,0,0,0,False,False,False
2015-08-24,0,24,0,1,1,0,0,324,0,12,0,0,0,0,0,0,0,0,False,False,False
2015-08-25,0,25,0,1,1,0,0,348,0,13,0,0,0,0,0,0,0,0,False,False,False
2015-08-26,0,24,0,1,1,0,0,372,0,14,0,0,0,0,0,0,0,0,False,False,False
