date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-09-26,0,23,0,2,2,0,1,9,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-09-27,0,22,0,2,2,0,1,33,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-09-28,0,22,0,2,2,0,1,57,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-09-29,0,22,0,2,2,0,1,81,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-09-30,0,22,0,2,2,0,1,105,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-01,0,24,0,2,2,0,1,129,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-02,0,25,0,2,2,0,1,153,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-03,0,25,0,2,2,0,1,177,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-04,0,25,0,2,2,0,1,201,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-05,0,25,0,2,2,0,1,225,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-06,0,26,0,2,2,0,1,249,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-07,0,25,0,2,2,0,1,273,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-08,0,26,0,2,2,0,1,297,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-09,0,25,0,2,2,0,1,321,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-10,0,25,0,2,2,0,1,344,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-11,0,25,0,2,2,0,1,369,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-12,0,26,0,2,2,0,1,392,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-13,0,25,0,2,2,0,1,416,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-14,0,25,0,2,2,0,1,441,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-15,0,25,0,2,2,0,1,464,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-16,0,24,0,2,2,0,1,488,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-17,0,24,0,2,2,0,1,513,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-18,0,24,0,2,2,0,1,536,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-19,0,24,0,2,2,0,1,560,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-20,0,24,0,2,2,0,1,585,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-21,0,23,0,2,2,0,1,608,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-22,0,24,0,2,2,0,1,632,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-23,0,26,0,2,2,0,1,656,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-24,0,24,0,2,2,0,1,680,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-25,0,24,0,2,2,0,1,704,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-26,0,24,0,2,2,0,1,728,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-27,0,24,0,2,2,0,1,752,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-28,0,24,0,2,2,0,1,776,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-29,0,24,0,2,2,0,1,800,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-30,0,24,0,2,2,0,1,824,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-10-31,0,24,0,2,2,0,1,848,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-01,0,24,0,2,2,0,1,872,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-03,0,24,0,2,2,0,1,921,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-04,0,24,0,2,2,0,1,945,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-05,0,27,0,2,2,0,1,969,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-06,0,24,0,2,2,0,1,993,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-07,0,25,0,2,2,0,1,1017,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-08,0,25,0,2,2,0,1,1041,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-09,0,25,0,2,2,0,1,1065,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-10,0,25,0,2,2,0,1,1089,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-11,0,24,0,2,2,0,1,1113,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-12,0,25,0,2,2,0,1,1137,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-13,0,25,0,2,2,0,1,1161,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-14,0,25,0,2,2,0,1,1184,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-15,0,25,0,2,2,0,1,1209,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-16,0,25,0,2,2,0,1,1233,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-17,0,25,0,2,2,0,1,1256,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-18,0,25,0,2,2,0,1,1281,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-19,0,25,0,2,2,0,1,1305,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-20,0,25,0,2,2,0,1,1328,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-21,0,25,0,2,2,0,1,1353,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-22,0,24,0,2,2,0,1,1377,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-23,0,24,0,2,2,0,1,1400,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-24,0,24,0,2,2,0,1,1425,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-25,0,24,0,2,2,0,1,1449,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-26,0,24,0,2,2,0,1,1472,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-27,0,24,0,2,2,0,1,1496,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-28,0,24,0,2,2,0,1,1521,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-29,0,24,0,2,2,0,1,1544,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-11-30,0,24,0,2,2,0,1,1568,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-12-01,0,24,0,2,2,0,1,1593,0,0,0,0,0,0,0,0,0,0,False,False,False
2014-12-02,0,24,0,2,2,0,1,1616,0,0,0,0,0,0,0,0,0,0,False,False,False
