date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-03-19,0,24,0,2,2,0,1,12,0,7,0,0,0,0,0,0,0,0,False,False,False
2014-03-20,0,24,0,2,2,0,1,36,0,22,0,0,0,0,0,0,0,0,False,False,False
2014-03-21,0,22,0,3,3,0,1,59,0,1019,0,0,0,0,0,0,0,0,False,False,False
2014-03-22,0,24,0,3,3,0,1,84,0,2503,0,0,0,0,0,0,0,0,False,False,False
2014-03-23,0,24,0,3,3,0,1,108,0,2503,0,0,0,0,0,0,0,0,False,False,False
2014-03-24,0,23,0,3,3,0,1,131,0,2504,0,0,0,0,0,0,0,0,False,False,False
2014-03-25,0,28,0,3,3,0,1,156,0,2513,0,0,0,0,0,0,0,0,False,False,False
2014-03-26,0,27,0,3,3,0,1,180,0,2517,0,0,0,0,0,0,0,0,False,False,False
2014-03-27,0,28,0,3,3,0,1,203,0,2518,0,0,0,0,0,0,0,0,False,False,False
2014-03-28,0,28,0,3,3,0,1,228,0,2521,0,0,0,0,0,0,0,0,False,False,False
2014-03-29,0,28,0,3,3,0,1,252,0,2594,0,0,0,0,0,0,0,0,False,False,False
2014-03-30,0,28,0,3,3,0,1,275,0,2602,0,0,0,0,0,0,0,0,False,False,False
2014-03-31,0,28,0,3,3,0,1,299,0,2607,0,0,0,0,0,0,0,0,False,False,False
2014-04-01,0,28,0,3,3,0,1,324,0,2608,0,0,0,0,0,0,0,0,False,False,False
2014-04-02,0,28,0,3,3,0,1,347,0,2632,0,0,0,0,0,0,0,0,False,False,False
2014-04-03,0,28,0,3,3,0,1,371,0,2636,0,0,0,0,0,0,0,0,False,False,False
2014-04-04,0,28,0,3,3,0,1,396,0,2639,0,0,0,0,0,0,0,0,False,False,False
2014-04-05,0,26,0,3,3,0,1,419,0,4107,0,0,0,0,0,0,0,0,False,False,False
2014-04-06,0,26,0,3,3,0,1,443,0,6246,0,0,0,0,0,0,0,0,False,False,False
2014-04-07,0,26,0,3,3,0,1,467,0,8297,0,0,0,0,0,0,0,0,False,False,False
2014-04-08,0,25,0,3,3,0,1,492,0,10423,0,0,0,0,0,0,0,0,False,False,False
2014-04-09,0,26,0,4,4,0,1,515,0,12474,0,0,0,0,0,0,0,0,False,False,False
2014-04-10,0,26,0,4,4,0,1,539,0,14468,0,0,0,0,0,0,0,0,False,False,False
2014-04-11,0,28,0,4,4,0,1,564,0,15185,0,0,0,0,0,0,0,0,False,False,False
2014-04-12,0,28,0,4,4,0,1,587,0,15187,0,0,0,0,0,0,0,0,False,False,False
2014-04-13,0,28,0,4,4,0,1,611,0,15189,0,0,0,0,0,0,0,0,False,False,False
2014-04-14,0,28,0,4,4,0,1,635,0,15190,0,0,0,0,0,0,0,0,False,False,False
2014-04-15,0,27,0,4,4,0,1,659,0,15196,0,0,0,0,0,0,0,0,False,False,False
2014-04-16,0,28,0,4,4,0,1,683,0,15197,0,0,0,0,0,0,0,0,False,False,False
2014-04-17,0,27,0,4,4,0,1,707,0,15198,0,0,0,0,0,0,0,0,False,False,False
2014-04-18,0,27,0,4,4,0,1,731,0,15200,0,0,0,0,0,0,0,0,False,False,False
2014-04-19,0,27,0,4,4,0,1,755,0,15201,0,0,0,0,0,0,0,0,False,False,False
2014-04-20,0,26,0,4,4,0,1,779,0,15201,0,0,0,0,0,0,0,0,False,False,False
2014-04-21,0,26,0,4,4,0,1,803,0,15202,0,0,0,0,0,0,0,0,False,False,False
2014-04-22,0,27,0,4,4,0,1,827,0,15203,0,0,0,0,0,0,0,0,False,False,False
2014-04-23,0,28,0,4,4,0,1,851,0,15204,0,0,0,0,0,0,0,0,False,False,False
2014-04-24,0,29,0,4,4,0,1,874,0,15208,0,0,0,0,0,0,0,0,False,False,False
2014-04-25,0,30,0,4,4,0,1,899,0,15209,0,0,0,0,0,0,0,0,False,False,False
2014-04-26,0,30,0,4,4,0,1,923,0,15209,0,0,0,0,0,0,0,0,False,False,False
