date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2015-03-10,0,28,0,7,7,0,5,276,0,383,5891,0,0,0,0,0,0,0,False,False,False
2015-03-11,0,28,0,7,7,0,5,300,0,384,5891,0,0,0,0,0,0,0,False,False,False
2015-03-12,0,28,0,7,7,0,5,324,0,385,5891,0,0,0,0,0,0,0,False,False,False
2015-03-13,0,28,0,7,7,0,5,348,0,386,5891,0,0,0,0,0,0,0,False,False,False
2015-03-14,0,28,0,7,7,0,5,372,0,386,5891,0,0,0,0,0,0,0,False,False,False
2015-03-15,0,28,0,7,7,0,5,396,0,386,5891,0,0,0,0,0,0,0,False,False,False
2015-03-16,0,27,0,7,7,0,5,420,0,386,5891,0,0,0,0,0,0,0,False,False,False
2015-03-17,0,28,0,7,7,0,5,444,0,387,5891,0,0,0,0,0,0,0,False,False,False
2015-03-18,0,28,0,7,7,0,5,468,0,387,5891,0,0,0,0,0,0,0,False,False,False
2015-03-19,0,21,0,11,11,0,8,489,0,388,6066,0,0,0,0,0,0,0,False,False,False
2015-03-20,0,20,0,11,11,0,8,513,0,389,6066,0,0,0,0,0,0,0,False,False,False
2015-03-21,0,19,0,11,11,0,8,537,0,391,6066,0,0,0,0,0,0,0,False,False,False
2015-03-22,0,22,0,11,11,0,8,561,0,392,6066,0,0,0,0,0,0,0,False,False,False
2015-03-23,0,20,0,11,11,0,8,584,0,392,6066,0,0,0,0,0,0,0,False,False,False
2015-03-24,0,19,0,11,11,0,8,609,0,393,6066,0,0,0,0,0,0,0,False,False,False
2015-03-25,0,19,0,11,11,0,8,633,0,394,6066,0,0,0,0,0,0,0,False,False,False
2015-03-26,0,20,0,11,11,0,8,656,0,395,6066,0,0,0,0,0,0,0,False,False,False
2015-03-27,0,21,0,11,11,0,8,680,0,396,6066,0,0,0,0,0,0,0,False,False,False
2015-03-28,0,21,0,11,11,0,8,698,0,397,6066,0,0,0,0,0,0,0,False,False,False
