date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,24,0,,,,,2973,,,,,,0,0,,,,False,False,False
2013-04-11,0,24,0,,,,,2997,,,,,,0,0,,,,False,False,False
2013-04-12,0,25,0,,,,,3016,,,,,,0,0,,,,False,False,False
2013-04-13,0,24,0,,,,,3040,,,,,,0,0,,,,False,False,False
2013-04-14,0,24,0,,,,,3064,,,,,,0,0,,,,False,False,False
2013-04-15,0,24,0,,,,,3088,,,,,,0,0,,,,False,False,False
2013-04-16,0,25,0,,,,,3112,,,,,,0,0,,,,False,False,False
2013-04-17,0,25,0,,,,,3136,,,,,,0,0,,,,False,False,False
2013-04-18,0,25,0,,,,,3160,,,,,,0,0,,,,False,False,False
2013-04-19,0,24,0,,,,,3184,,,,,,0,0,,,,False,False,False
2013-04-20,0,23,0,,,,,3208,,,,,,0,0,,,,False,False,False
2013-04-21,0,24,0,,,,,3232,,,,,,0,0,,,,False,False,False
2013-04-22,0,25,0,,,,,3256,,,,,,0,0,,,,False,False,False
2013-04-23,0,21,0,,,,,3280,,,,,,0,0,,,,False,False,False
2013-04-24,0,21,0,,,,,3304,,,,,,0,0,,,,False,False,False
2013-04-25,0,19,0,,,,,3328,,,,,,0,0,,,,False,False,False
2013-04-26,0,22,0,,,,,3352,,,,,,0,0,,,,False,False,False
2013-04-27,0,21,0,,,,,3376,,,,,,0,0,,,,False,False,False
2013-04-28,0,22,0,,,,,3400,,,,,,0,0,,,,False,False,False
2013-04-29,0,20,0,,,,,3424,,,,,,0,0,,,,False,False,False
2013-04-30,0,28,0,,,,,3448,,,,,,0,0,,,,False,False,False
2013-05-01,0,28,0,,,,,3472,,,,,,0,0,,,,False,False,False
2013-05-02,0,22,0,,,,,3495,,,,,,0,0,,,,False,False,False
2013-05-03,0,22,0,,,,,3520,,,,,,0,0,,,,False,False,False
2013-05-04,0,20,0,,,,,3544,,,,,,0,0,,,,False,False,False
2013-05-05,0,18,0,,,,,3568,,,,,,0,0,,,,False,False,False
2013-05-06,0,18,0,,,,,3592,,,,,,0,0,,,,False,False,False
2013-05-07,0,18,0,,,,,3616,,,,,,0,0,,,,False,False,False
2013-05-08,0,28,0,,,,,3640,,,,,,0,0,,,,False,False,False
2013-05-09,0,28,0,,,,,3663,,,,,,0,0,,,,False,False,False
2013-05-10,0,28,0,,,,,3688,,,,,,0,0,,,,False,False,False
2013-05-11,0,28,0,,,,,3711,,,,,,0,0,,,,False,False,False
2013-05-12,0,28,0,,,,,3735,,,,,,0,0,,,,False,False,False
2013-05-13,0,28,0,,,,,3759,,,,,,0,0,,,,False,False,False
2013-05-14,0,28,0,,,,,3783,,,,,,0,0,,,,False,False,False
2013-05-15,0,26,0,,,,,3807,,,,,,0,0,,,,False,False,False
2013-05-16,0,27,0,,,,,3831,,,,,,0,0,,,,False,False,False
2013-05-17,0,22,0,,,,,3855,,,,,,0,0,,,,False,False,False
2013-05-18,0,28,0,,,,,3879,,,,,,0,0,,,,False,False,False
2013-05-19,0,28,0,,,,,3903,,,,,,0,0,,,,False,False,False
2013-05-20,0,28,0,,,,,3927,,,,,,0,0,,,,False,False,False
2013-05-21,0,28,0,,,,,3951,,,,,,0,0,,,,False,False,False
