date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-11-21,0,22,0,,,,,12543,,,,,,0,0,,,
2013-11-22,0,20,0,,,,,12567,,,,,,0,0,,,
2013-11-23,0,21,0,,,,,12591,,,,,,0,0,,,
2013-11-24,0,20,0,,,,,12614,,,,,,0,0,,,
2013-11-25,0,20,0,,,,,12638,,,,,,0,0,,,
2013-11-26,0,20,0,,,,,12662,,,,,,0,0,,,
2013-11-27,0,21,0,,,,,12686,,,,,,0,0,,,
2013-11-28,0,20,0,,,,,12710,,,,,,0,0,,,
2013-11-29,0,20,0,,,,,12734,,,,,,0,0,,,
2013-11-30,0,22,0,,,,,12758,,,,,,0,0,,,
2013-12-01,0,21,0,,,,,12782,,,,,,0,0,,,
2013-12-02,0,21,0,,,,,12806,,,,,,0,0,,,
2013-12-03,0,21,0,,,,,12830,,,,,,0,0,,,
2013-12-04,0,22,0,,,,,12854,,,,,,0,0,,,
2013-12-05,0,21,0,,,,,12878,,,,,,0,0,,,
2013-12-06,0,20,0,,,,,12902,,,,,,0,0,,,
2013-12-07,0,21,0,,,,,12925,,,,,,0,0,,,
2013-12-08,0,21,0,,,,,12949,,,,,,0,0,,,
2013-12-09,0,21,0,,,,,12973,,,,,,0,0,,,
2013-12-10,0,21,0,,,,,12997,,,,,,0,0,,,
2013-12-11,0,22,0,,,,,13020,,,,,,0,0,,,
2013-12-12,0,21,0,,,,,13044,,,,,,0,0,,,
2013-12-13,0,21,0,,,,,13068,,,,,,0,0,,,
2013-12-14,0,21,0,,,,,13092,,,,,,0,0,,,
2013-12-15,0,21,0,,,,,13116,,,,,,0,0,,,
2013-12-16,0,21,0,,,,,13140,,,,,,0,0,,,
2013-12-17,0,21,0,,,,,13164,,,,,,0,0,,,
2013-12-18,0,21,0,,,,,13188,,,,,,0,0,,,
2013-12-19,0,22,0,,,,,13212,,,,,,0,0,,,
2013-12-20,0,21,0,,,,,13236,,,,,,0,0,,,
