date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,27,0,,,,,1824,,,,,,0,0,,,
2013-04-11,0,27,0,,,,,1848,,,,,,0,0,,,
2013-04-12,0,29,0,,,,,1872,,,,,,0,0,,,
2013-04-13,0,29,0,,,,,1896,,,,,,0,0,,,
2013-04-14,0,29,0,,,,,1920,,,,,,0,0,,,
2013-04-15,0,29,0,,,,,1944,,,,,,0,0,,,
2013-04-16,0,29,0,,,,,1968,,,,,,0,0,,,
2013-04-17,0,29,0,,,,,1992,,,,,,0,0,,,
2013-04-18,0,29,0,,,,,2015,,,,,,0,0,,,
2013-04-19,0,29,0,,,,,2039,,,,,,0,0,,,
2013-04-20,0,29,0,,,,,2063,,,,,,0,0,,,
2013-04-21,0,29,0,,,,,2087,,,,,,0,0,,,
2013-04-22,0,29,0,,,,,2111,,,,,,0,0,,,
2013-04-23,0,29,0,,,,,2135,,,,,,0,0,,,
2013-04-24,0,24,0,,,,,2159,,,,,,0,0,,,
2013-04-25,0,25,0,,,,,2183,,,,,,0,0,,,
2013-04-26,0,23,0,,,,,2207,,,,,,0,0,,,
2013-04-27,0,23,0,,,,,2231,,,,,,0,0,,,
2013-04-28,0,23,0,,,,,2255,,,,,,0,0,,,
2013-04-29,0,23,0,,,,,2279,,,,,,0,0,,,
2013-04-30,0,22,0,,,,,2303,,,,,,0,0,,,
