date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-01-08,0,22,0,,,,,38,,,,,,0,0,,,
2014-01-09,0,21,0,,,,,61,,,,,,0,0,,,
2014-01-10,0,21,0,,,,,85,,,,,,0,0,,,
2014-01-11,0,21,0,,,,,109,,,,,,0,0,,,
2014-01-12,0,21,0,,,,,133,,,,,,0,0,,,
2014-01-13,0,21,0,,,,,157,,,,,,0,0,,,
2014-01-14,0,21,0,,,,,181,,,,,,0,0,,,
2014-01-15,0,22,0,,,,,205,,,,,,0,0,,,
2014-01-16,0,22,0,,,,,229,,,,,,0,0,,,
2014-01-17,0,22,0,,,,,253,,,,,,0,0,,,
2014-01-18,0,21,0,,,,,277,,,,,,0,0,,,
2014-01-19,0,21,0,,,,,301,,,,,,0,0,,,
2014-01-20,0,21,0,,,,,325,,,,,,0,0,,,
2014-01-21,0,21,0,,,,,349,,,,,,0,0,,,
2014-01-22,0,21,0,,,,,373,,,,,,0,0,,,
2014-01-23,0,21,0,,,,,397,,,,,,0,0,,,
2014-01-24,0,22,0,,,,,421,,,,,,0,0,,,
2014-01-25,0,22,0,,,,,445,,,,,,0,0,,,
2014-01-26,0,22,0,,,,,469,,,,,,0,0,,,
2014-01-27,0,22,0,,,,,493,,,,,,0,0,,,
2014-01-28,0,22,0,,,,,517,,,,,,0,0,,,
2014-01-29,0,21,0,,,,,541,,,,,,0,0,,,
2014-01-30,0,21,0,,,,,564,,,,,,0,0,,,
2014-01-31,0,23,0,,,,,589,,,,,,0,0,,,
2014-02-01,0,23,0,,,,,613,,,,,,0,0,,,
2014-02-02,0,23,0,,,,,637,,,,,,0,0,,,
2014-02-03,0,22,0,,,,,661,,,,,,0,0,,,
2014-02-04,0,22,0,,,,,685,,,,,,0,0,,,
2014-02-05,0,23,0,,,,,708,,,,,,0,0,,,
2014-02-06,0,23,0,,,,,733,,,,,,0,0,,,
2014-02-07,0,23,0,,,,,756,,,,,,0,0,,,
2014-02-08,0,23,0,,,,,780,,,,,,0,0,,,
2014-02-09,0,22,0,,,,,804,,,,,,0,0,,,
2014-02-10,0,22,0,,,,,828,,,,,,0,0,,,
2014-02-11,0,21,0,,,,,852,,,,,,0,0,,,
2014-02-12,0,22,0,,,,,876,,,,,,0,0,,,
2014-02-13,0,22,0,,,,,900,,,,,,0,0,,,
2014-02-14,0,22,0,6,6,0,1,924,0,25854,6033,0,0,0,0,0,0,0
2014-02-15,0,22,0,6,6,0,1,948,0,27970,6033,0,0,0,0,0,0,0
2014-02-16,0,22,0,6,6,0,1,972,0,30196,6033,0,0,0,0,0,0,0
2014-02-17,0,22,0,6,6,0,1,996,0,32304,6033,0,0,0,0,0,0,0
2014-02-18,0,22,0,6,6,0,1,1020,0,34390,6033,0,0,0,0,0,0,0
2014-02-19,0,22,0,6,6,0,1,1044,0,36429,6033,0,0,0,0,0,0,0
2014-02-20,0,22,0,6,6,0,1,1068,0,38337,6033,0,0,0,0,0,0,0
2014-02-21,0,22,0,6,6,0,1,1092,0,39911,6033,0,0,0,0,0,0,0
2014-02-22,0,22,0,6,6,0,1,1114,0,41465,6033,0,0,0,0,0,0,0
2014-02-23,0,22,0,6,6,0,1,1140,0,43072,6033,0,0,0,0,0,0,0
2014-02-24,0,22,0,6,6,0,1,1163,0,44983,6033,0,0,0,0,0,0,0
2014-02-25,0,22,0,6,6,0,1,1188,0,47067,6033,0,0,0,0,0,0,0
2014-02-26,0,22,0,6,6,0,1,1211,0,49027,6033,0,0,0,0,0,0,0
2014-02-27,0,22,0,6,6,0,1,1236,0,51005,6033,0,0,0,0,0,0,0
2014-02-28,0,22,0,6,6,0,1,1259,0,53011,6033,0,0,0,0,0,0,0
